"","Volume","Taxon name"
"Andreaea rupestris","Volume 27","Andreaea rupestris"
"Andreaeobryum macrosporum","Volume 27","Andreaeobryum macrosporum"
"Andromeda polifolia","Volume 8","Andromeda polifolia"
"Andromeda polifolia var. polifolia","Volume 8","Andromeda polifolia var. polifolia"
"Androsace chamaejasme","Volume 8","Androsace chamaejasme"
"Androsace chamaejasme subsp. lehmanniana","Volume 8","Androsace chamaejasme subsp. lehmanniana"
"Androsace septentrionalis","Volume 8","Androsace septentrionalis"
"Anemone canadensis","Volume 3","Anemone canadensis"
"Anemone drummondii","Volume 3","Anemone drummondii"
"Anemone drummondii var. lithophila","Volume 3","Anemone drummondii var. lithophila"
"Anemone multifida","Volume 3","Anemone multifida"
"Anemone multifida var. multifida","Volume 3","Anemone multifida var. multifida"
"Anemone multifida var. saxicola","Volume 3","Anemone multifida var. saxicola"
"Anemone narcissiflora","Volume 3","Anemone narcissiflora"
"Anemone narcissiflora var. monantha","Volume 3","Anemone narcissiflora var. monantha"
"Anemone parviflora","Volume 3","Anemone parviflora"
"Anemone patens","Volume 3","Anemone patens"
"Anemone patens var. multifida","Volume 3","Anemone patens var. multifida"
"Anemone richardsonii","Volume 3","Anemone richardsonii"
"Anomobryum concinnatum","Volume 28","Anomobryum concinnatum"
"Anomobryum julaceum","Volume 28","Anomobryum julaceum"
"Antennaria alpina","Volume 19","Antennaria alpina"
"Antennaria densifolia","Volume 19","Antennaria densifolia"
"Antennaria friesiana","Volume 19","Antennaria friesiana"
"Antennaria friesiana subsp. alaskana","Volume 19","Antennaria friesiana subsp. alaskana"
"Antennaria friesiana subsp. friesiana","Volume 19","Antennaria friesiana subsp. friesiana"
"Antennaria friesiana subsp. neoalaskana","Volume 19","Antennaria friesiana subsp. neoalaskana"
"Antennaria howellii","Volume 19","Antennaria howellii"
"Antennaria howellii subsp. neodioica","Volume 19","Antennaria howellii subsp. neodioica"
"Antennaria media","Volume 19","Antennaria media"
"Antennaria microphylla","Volume 19","Antennaria microphylla"
"Antennaria monocephala","Volume 19","Antennaria monocephala"
"Antennaria monocephala subsp. angustata","Volume 19","Antennaria monocephala subsp. angustata"
"Antennaria monocephala subsp. monocephala","Volume 19","Antennaria monocephala subsp. monocephala"
"Antennaria neglecta","Volume 19","Antennaria neglecta"
"Antennaria pulcherrima","Volume 19","Antennaria pulcherrima"
"Antennaria pulcherrima subsp. pulcherrima","Volume 19","Antennaria pulcherrima subsp. pulcherrima"
"Antennaria rosea","Volume 19","Antennaria rosea"
"Antennaria rosea subsp. confinis","Volume 19","Antennaria rosea subsp. confinis"
"Antennaria rosea subsp. pulvinata","Volume 19","Antennaria rosea subsp. pulvinata"
"Antennaria rosea subsp. rosea","Volume 19","Antennaria rosea subsp. rosea"
"Anthoxanthum","Volume 24","Anthoxanthum"
"Anthoxanthum arcticum","Volume 24","Anthoxanthum arcticum"
"Anthoxanthum hirtum","Volume 24","Anthoxanthum hirtum"
"Anthoxanthum monticola","Volume 24","Anthoxanthum monticola"
"Anthoxanthum monticola subsp. alpinum","Volume 24","Anthoxanthum monticola subsp. alpinum"
"Anthoxanthum monticola subsp. monticola","Volume 24","Anthoxanthum monticola subsp. monticola"
"Anthoxanthum nitens","Volume 24","Anthoxanthum nitens"
"Anthoxanthum occidentale","Volume 24","Anthoxanthum occidentale"
"Aongstroemia longipes","Volume 27","Aongstroemia longipes"
"Aplodon wormskioldii","Volume 28","Aplodon wormskioldii"
"Aquilegia brevistyla","Volume 3","Aquilegia brevistyla"
"Arabidopsis lyrata","Volume 7","Arabidopsis lyrata"
"Arabidopsis lyrata subsp. kamchatica","Volume 7","Arabidopsis lyrata subsp. kamchatica"
"Arabidopsis lyrata subsp. lyrata","Volume 7","Arabidopsis lyrata subsp. lyrata"
"Arabis pycnocarpa","Volume 7","Arabis pycnocarpa"
"Arabis pycnocarpa var. pycnocarpa","Volume 7","Arabis pycnocarpa var. pycnocarpa"
"Arctagrostis","Volume 24","Arctagrostis"
"Arctagrostis latifolia","Volume 24","Arctagrostis latifolia"
"Arctagrostis latifolia subsp. arundinacea","Volume 24","Arctagrostis latifolia subsp. arundinacea"
"Arctagrostis latifolia subsp. latifolia","Volume 24","Arctagrostis latifolia subsp. latifolia"
"Arctanthemum arcticum","Volume 19","Arctanthemum arcticum"
"Arctanthemum arcticum subsp. polare","Volume 19","Arctanthemum arcticum subsp. polare"
"Arctoa fulvella","Volume 27","Arctoa fulvella"
"Arctophila","Volume 24","Arctophila"
"Arctophila fulva","Volume 24","Arctophila fulva"
"Arctostaphylos uva-ursi","Volume 8","Arctostaphylos uva-ursi"
"Arctous alpina","Volume 8","Arctous alpina"
"Arctous rubra","Volume 8","Arctous rubra"
"Arenaria humifusa","Volume 5","Arenaria humifusa"
"Arenaria longipedunculata","Volume 5","Arenaria longipedunculata"
"Armeria maritima","Volume 5","Armeria maritima"
"Armeria maritima subsp. sibirica","Volume 5","Armeria maritima subsp. sibirica"
"Arnica angustifolia","Volume 21","Arnica angustifolia"
"Arnica angustifolia subsp. angustifolia","Volume 21","Arnica angustifolia subsp. angustifolia"
"Arnica angustifolia subsp. tomentosa","Volume 21","Arnica angustifolia subsp. tomentosa"
"Arnica chamissonis","Volume 21","Arnica chamissonis"
"Arnica cordifolia","Volume 21","Arnica cordifolia"
"Arnica griscomii","Volume 21","Arnica griscomii"
"Arnica griscomii subsp. frigida","Volume 21","Arnica griscomii subsp. frigida"
"Arnica lanceolata","Volume 21","Arnica lanceolata"
"Arnica lanceolata subsp. prima","Volume 21","Arnica lanceolata subsp. prima"
"Arnica latifolia","Volume 21","Arnica latifolia"
"Arnica lessingii","Volume 21","Arnica lessingii"
"Arnica lonchophylla","Volume 21","Arnica lonchophylla"
"Arnica mollis","Volume 21","Arnica mollis"
"Artemisia alaskana","Volume 19","Artemisia alaskana"
"Artemisia biennis","Volume 19","Artemisia biennis"
"Artemisia borealis","Volume 19","Artemisia borealis"
"Artemisia borealis subsp. borealis","Volume 19","Artemisia borealis subsp. borealis"
"Artemisia borealis subsp. richardsoniana","Volume 19","Artemisia borealis subsp. richardsoniana"
"Artemisia frigida","Volume 19","Artemisia frigida"
"Artemisia furcata","Volume 19","Artemisia furcata"
"Artemisia tilesii","Volume 19","Artemisia tilesii"
"Asplenium trichomanes-ramosum","Volume 2","Asplenium trichomanes-ramosum"
"Aster alpinus","Volume 20","Aster alpinus"
"Aster alpinus subsp. vierhapperi","Volume 20","Aster alpinus subsp. vierhapperi"
"Athyrium filix-femina","Volume 2","Athyrium filix-femina"
"Athyrium filix-femina var. cyclosorum","Volume 2","Athyrium filix-femina var. cyclosorum"
"Atrichum selwynii","Volume 27","Atrichum selwynii"
"Atrichum tenellum","Volume 27","Atrichum tenellum"
"Atriplex gmelinii","Volume 4","Atriplex gmelinii"
"Atriplex gmelinii var. gmelinii","Volume 4","Atriplex gmelinii var. gmelinii"
"Aulacomnium acuminatum","Volume 28","Aulacomnium acuminatum"
"Aulacomnium palustre","Volume 28","Aulacomnium palustre"
"Aulacomnium turgidum","Volume 28","Aulacomnium turgidum"
"Avena","Volume 24","Avena"
"Avena fatua","Volume 24","Avena fatua"
"Avena sativa","Volume 24","Avena sativa"
"Avenula","Volume 24","Avenula"
"Avenula hookeri","Volume 24","Avenula hookeri"
"Barbarea orthoceras","Volume 7","Barbarea orthoceras"
"Barbula amplexifolia","Volume 27","Barbula amplexifolia"
"Barbula convoluta var. gallinula","Volume 27","Barbula convoluta var. gallinula"
"Barbula indica var. indica","Volume 27","Barbula indica var. indica"
"Barbula unguiculata","Volume 27","Barbula unguiculata"
"Bartsia alpina","Volume 17","Bartsia alpina"
"Beckmannia","Volume 24","Beckmannia"
"Beckmannia syzigachne","Volume 24","Beckmannia syzigachne"
"Betula glandulosa","Volume 3","Betula glandulosa"
"Betula nana","Volume 3","Betula nana"
"Betula nana subsp. exilis","Volume 3","Betula nana subsp. exilis"
"Betula nana subsp. nana","Volume 3","Betula nana subsp. nana"
"Betula neoalaskana","Volume 3","Betula neoalaskana"
"Betula occidentalis","Volume 3","Betula occidentalis"
"Betula papyrifera","Volume 3","Betula papyrifera"
"Betula pumila","Volume 3","Betula pumila"
"Bidens cernua","Volume 21","Bidens cernua"
"Bistorta plumosa","Volume 5","Bistorta plumosa"
"Bistorta vivipara","Volume 5","Bistorta vivipara"
"Blindia acuta","Volume 27","Blindia acuta"
"Blysmopsis rufa","Volume 23","Blysmopsis rufa"
"Boechera calderi","Volume 7","Boechera calderi"
"Boechera grahamii","Volume 7","Boechera grahamii"
"Boechera retrofracta","Volume 7","Boechera retrofracta"
"Boechera stricta","Volume 7","Boechera stricta"
"Bolboschoenus maritimus","Volume 23","Bolboschoenus maritimus"
"Bolboschoenus maritimus subsp. paludosus","Volume 23","Bolboschoenus maritimus subsp. paludosus"
"Boschniakia rossica","Volume 17","Boschniakia rossica"
"Botrychium lunaria","Volume 2","Botrychium lunaria"
"Botrychium minganense","Volume 2","Botrychium minganense"
"Botrychium multifidum","Volume 2","Botrychium multifidum"
"Botrychium pinnatum","Volume 2","Botrychium pinnatum"
"Botrychium spathulatum","Volume 2","Botrychium spathulatum"
"Botrychium virginianum","Volume 2","Botrychium virginianum"
"Brachythecium cirrosum","Volume 28","Brachythecium cirrosum"
"Brachythecium rivulare","Volume 28","Brachythecium rivulare"
"Brachythecium turgidum","Volume 28","Brachythecium turgidum"
"Brassica juncea","Volume 7","Brassica juncea"
"Brassica napus","Volume 7","Brassica napus"
"Brassica rapa","Volume 7","Brassica rapa"
"Braya glabella","Volume 7","Braya glabella"
"Braya glabella subsp. glabella","Volume 7","Braya glabella subsp. glabella"
"Braya glabella subsp. purpurascens","Volume 7","Braya glabella subsp. purpurascens"
"Braya humilis","Volume 7","Braya humilis"
"Braya humilis subsp. humilis","Volume 7","Braya humilis subsp. humilis"
"Braya humilis subsp. porsildii","Volume 7","Braya humilis subsp. porsildii"
"Braya pilosa","Volume 7","Braya pilosa"
"Braya thorild-wulffii","Volume 7","Braya thorild-wulffii"
"Braya thorild-wulffii subsp. glabrata","Volume 7","Braya thorild-wulffii subsp. glabrata"
"Braya thorild-wulffii subsp. thorild-wulffii","Volume 7","Braya thorild-wulffii subsp. thorild-wulffii"
"Bromus","Volume 24","Bromus"
"Bromus caroli-henrici","Volume 24","Bromus caroli-henrici"
"Bromus ciliatus","Volume 24","Bromus ciliatus"
"Bromus commutatus","Volume 24","Bromus commutatus"
"Bromus hallii","Volume 24","Bromus hallii"
"Bromus hordeaceus","Volume 24","Bromus hordeaceus"
"Bromus hordeaceus subsp. hordeaceus","Volume 24","Bromus hordeaceus subsp. hordeaceus"
"Bromus hordeaceus subsp. molliformis","Volume 24","Bromus hordeaceus subsp. molliformis"
"Bromus hordeaceus subsp. pseudothominei","Volume 24","Bromus hordeaceus subsp. pseudothominei"
"Bromus hordeaceus subsp. thominei","Volume 24","Bromus hordeaceus subsp. thominei"
"Bromus inermis","Volume 24","Bromus inermis"
"Bromus japonicus","Volume 24","Bromus japonicus"
"Bromus pumpellianus","Volume 24","Bromus pumpellianus"
"Bromus pumpellianus subsp. dicksonii","Volume 24","Bromus pumpellianus subsp. dicksonii"
"Bromus pumpellianus subsp. pumpellianus","Volume 24","Bromus pumpellianus subsp. pumpellianus"
"Bromus racemosus","Volume 24","Bromus racemosus"
"Bromus richardsonii","Volume 24","Bromus richardsonii"
"Bromus riparius","Volume 24","Bromus riparius"
"Bromus sect. Bromopsis","Volume 24","Bromus sect. Bromopsis"
"Bromus sect. Bromus","Volume 24","Bromus sect. Bromus"
"Bromus sect. Ceratochloa","Volume 24","Bromus sect. Ceratochloa"
"Bromus sect. Genea","Volume 24","Bromus sect. Genea"
"Bromus sect. Neobromus","Volume 24","Bromus sect. Neobromus"
"Bromus tectorum","Volume 24","Bromus tectorum"
"Bryobrittonia longipes","Volume 27","Bryobrittonia longipes"
"Bryoerythrophyllum recurvirostrum","Volume 27","Bryoerythrophyllum recurvirostrum"
"Bryum argenteum var. argenteum","Volume 28","Bryum argenteum var. argenteum"
"Bryum blindii","Volume 28","Bryum blindii"
"Bryum lanatum","Volume 28","Bryum lanatum"
"Calamagrostis","Volume 24","Calamagrostis"
"Calamagrostis canadensis","Volume 24","Calamagrostis canadensis"
"Calamagrostis canadensis var. canadensis","Volume 24","Calamagrostis canadensis var. canadensis"
"Calamagrostis canadensis var. langsdorffii","Volume 24","Calamagrostis canadensis var. langsdorffii"
"Calamagrostis canadensis var. macouniana","Volume 24","Calamagrostis canadensis var. macouniana"
"Calamagrostis cinnoides","Volume 24","Calamagrostis cinnoides"
"Calamagrostis deschampsioides","Volume 24","Calamagrostis deschampsioides"
"Calamagrostis epigejos","Volume 24","Calamagrostis epigejos"
"Calamagrostis lapponica","Volume 24","Calamagrostis lapponica"
"Calamagrostis purpurascens","Volume 24","Calamagrostis purpurascens"
"Calamagrostis stricta","Volume 24","Calamagrostis stricta"
"Calamagrostis stricta subsp. inexpansa","Volume 24","Calamagrostis stricta subsp. inexpansa"
"Calamagrostis stricta subsp. stricta","Volume 24","Calamagrostis stricta subsp. stricta"
"Calamagrostis ×acutiflora","Volume 24","Calamagrostis ×acutiflora"
"Calla palustris","Volume 22","Calla palustris"
"Calliergon cordifolium","Volume 28","Calliergon cordifolium"
"Calliergon giganteum","Volume 28","Calliergon giganteum"
"Calliergon megalophyllum","Volume 28","Calliergon megalophyllum"
"Calliergon richardsonii","Volume 28","Calliergon richardsonii"
"Callitriche hermaphroditica","Volume 17","Callitriche hermaphroditica"
"Callitriche palustris","Volume 17","Callitriche palustris"
"Caltha natans","Volume 3","Caltha natans"
"Caltha palustris","Volume 3","Caltha palustris"
"Calypso bulbosa var. americana","Volume 26","Calypso bulbosa var. americana"
"Camelina microcarpa","Volume 7","Camelina microcarpa"
"Camelina sativa","Volume 7","Camelina sativa"
"Campyliadelphus chrysophyllus","Volume 28","Campyliadelphus chrysophyllus"
"Campylium protensum","Volume 28","Campylium protensum"
"Campylium stellatum","Volume 28","Campylium stellatum"
"Campylophyllum halleri","Volume 28","Campylophyllum halleri"
"Campylophyllum sommerfeltii","Volume 28","Campylophyllum sommerfeltii"
"Capsella bursa-pastoris","Volume 7","Capsella bursa-pastoris"
"Cardamine bellidifolia","Volume 7","Cardamine bellidifolia"
"Cardamine digitata","Volume 7","Cardamine digitata"
"Cardamine microphylla","Volume 7","Cardamine microphylla"
"Cardamine nymanii","Volume 7","Cardamine nymanii"
"Cardamine parviflora","Volume 7","Cardamine parviflora"
"Cardamine pensylvanica","Volume 7","Cardamine pensylvanica"
"Cardamine umbellata","Volume 7","Cardamine umbellata"
"Carex adelostoma","Volume 23","Carex adelostoma"
"Carex albonigra","Volume 23","Carex albonigra"
"Carex aquatilis","Volume 23","Carex aquatilis"
"Carex aquatilis var. aquatilis","Volume 23","Carex aquatilis var. aquatilis"
"Carex aquatilis var. minor","Volume 23","Carex aquatilis var. minor"
"Carex atherodes","Volume 23","Carex atherodes"
"Carex atratiformis","Volume 23","Carex atratiformis"
"Carex atrofusca","Volume 23","Carex atrofusca"
"Carex atrosquama","Volume 23","Carex atrosquama"
"Carex aurea","Volume 23","Carex aurea"
"Carex bebbii","Volume 23","Carex bebbii"
"Carex bicolor","Volume 23","Carex bicolor"
"Carex bigelowii","Volume 23","Carex bigelowii"
"Carex bigelowii subsp. bigelowii","Volume 23","Carex bigelowii subsp. bigelowii"
"Carex bigelowii subsp. lugens","Volume 23","Carex bigelowii subsp. lugens"
"Carex bonanzensis","Volume 23","Carex bonanzensis"
"Carex brunnescens","Volume 23","Carex brunnescens"
"Carex brunnescens subsp. brunnescens","Volume 23","Carex brunnescens subsp. brunnescens"
"Carex buxbaumii","Volume 23","Carex buxbaumii"
"Carex canescens","Volume 23","Carex canescens"
"Carex canescens subsp. canescens","Volume 23","Carex canescens subsp. canescens"
"Carex capillaris","Volume 23","Carex capillaris"
"Carex capitata","Volume 23","Carex capitata"
"Carex chordorrhiza","Volume 23","Carex chordorrhiza"
"Carex concinna","Volume 23","Carex concinna"
"Carex crawfordii","Volume 23","Carex crawfordii"
"Carex deflexa","Volume 23","Carex deflexa"
"Carex deflexa var. deflexa","Volume 23","Carex deflexa var. deflexa"
"Carex deweyana","Volume 23","Carex deweyana"
"Carex deweyana var. deweyana","Volume 23","Carex deweyana var. deweyana"
"Carex diandra","Volume 23","Carex diandra"
"Carex disperma","Volume 23","Carex disperma"
"Carex duriuscula","Volume 23","Carex duriuscula"
"Carex eburnea","Volume 23","Carex eburnea"
"Carex filifolia","Volume 23","Carex filifolia"
"Carex filifolia var. filifolia","Volume 23","Carex filifolia var. filifolia"
"Carex foenea","Volume 23","Carex foenea"
"Carex fuliginosa","Volume 23","Carex fuliginosa"
"Carex garberi","Volume 23","Carex garberi"
"Carex glacialis","Volume 23","Carex glacialis"
"Carex glareosa","Volume 23","Carex glareosa"
"Carex glareosa subsp. glareosa","Volume 23","Carex glareosa subsp. glareosa"
"Carex gynocrates","Volume 23","Carex gynocrates"
"Carex heleonastes","Volume 23","Carex heleonastes"
"Carex holostoma","Volume 23","Carex holostoma"
"Carex interior","Volume 23","Carex interior"
"Carex krausei","Volume 23","Carex krausei"
"Carex lachenalii","Volume 23","Carex lachenalii"
"Carex lapponica","Volume 23","Carex lapponica"
"Carex lenticularis","Volume 23","Carex lenticularis"
"Carex lenticularis var. lenticularis","Volume 23","Carex lenticularis var. lenticularis"
"Carex leptalea","Volume 23","Carex leptalea"
"Carex limosa","Volume 23","Carex limosa"
"Carex livida","Volume 23","Carex livida"
"Carex loliacea","Volume 23","Carex loliacea"
"Carex mackenziei","Volume 23","Carex mackenziei"
"Carex macloviana","Volume 23","Carex macloviana"
"Carex magellanica","Volume 23","Carex magellanica"
"Carex magellanica subsp. irrigua","Volume 23","Carex magellanica subsp. irrigua"
"Carex marina","Volume 23","Carex marina"
"Carex maritima","Volume 23","Carex maritima"
"Carex media","Volume 23","Carex media"
"Carex membranacea","Volume 23","Carex membranacea"
"Carex microchaeta","Volume 23","Carex microchaeta"
"Carex microchaeta subsp. microchaeta","Volume 23","Carex microchaeta subsp. microchaeta"
"Carex microglochin","Volume 23","Carex microglochin"
"Carex microglochin subsp. microglochin","Volume 23","Carex microglochin subsp. microglochin"
"Carex microptera","Volume 23","Carex microptera"
"Carex nardina","Volume 23","Carex nardina"
"Carex obtusata","Volume 23","Carex obtusata"
"Carex petasata","Volume 23","Carex petasata"
"Carex petricosa","Volume 23","Carex petricosa"
"Carex petricosa var. petricosa","Volume 23","Carex petricosa var. petricosa"
"Carex podocarpa","Volume 23","Carex podocarpa"
"Carex prairea","Volume 23","Carex prairea"
"Carex praticola","Volume 23","Carex praticola"
"Carex rariflora","Volume 23","Carex rariflora"
"Carex richardsonii","Volume 23","Carex richardsonii"
"Carex rossii","Volume 23","Carex rossii"
"Carex rostrata","Volume 23","Carex rostrata"
"Carex rotundata","Volume 23","Carex rotundata"
"Carex rupestris","Volume 23","Carex rupestris"
"Carex sartwellii","Volume 23","Carex sartwellii"
"Carex saxatilis","Volume 23","Carex saxatilis"
"Carex scirpoidea","Volume 23","Carex scirpoidea"
"Carex scirpoidea subsp. scirpoidea","Volume 23","Carex scirpoidea subsp. scirpoidea"
"Carex siccata","Volume 23","Carex siccata"
"Carex subspathacea","Volume 23","Carex subspathacea"
"Carex supina","Volume 23","Carex supina"
"Carex supina subsp. spaniocarpa","Volume 23","Carex supina subsp. spaniocarpa"
"Carex sychnocephala","Volume 23","Carex sychnocephala"
"Carex tenuiflora","Volume 23","Carex tenuiflora"
"Carex trisperma","Volume 23","Carex trisperma"
"Carex ursina","Volume 23","Carex ursina"
"Carex utriculata","Volume 23","Carex utriculata"
"Carex vaginata","Volume 23","Carex vaginata"
"Carex viridula","Volume 23","Carex viridula"
"Carex viridula var. viridula","Volume 23","Carex viridula var. viridula"
"Carex williamsii","Volume 23","Carex williamsii"
"Cassiope tetragona","Volume 8","Cassiope tetragona"
"Cassiope tetragona subsp. saximontana","Volume 8","Cassiope tetragona subsp. saximontana"
"Cassiope tetragona subsp. tetragona","Volume 8","Cassiope tetragona subsp. tetragona"
"Castilleja elegans","Volume 17","Castilleja elegans"
"Castilleja hyperborea","Volume 17","Castilleja hyperborea"
"Castilleja pallida","Volume 17","Castilleja pallida"
"Castilleja pallida var. caudata","Volume 17","Castilleja pallida var. caudata"
"Castilleja pallida var. yukonis","Volume 17","Castilleja pallida var. yukonis"
"Castilleja raupii","Volume 17","Castilleja raupii"
"Castilleja septentrionalis","Volume 17","Castilleja septentrionalis"
"Catoscopium nigritum","Volume 28","Catoscopium nigritum"
"Cerastium alpinum","Volume 5","Cerastium alpinum"
"Cerastium alpinum subsp. alpinum","Volume 5","Cerastium alpinum subsp. alpinum"
"Cerastium alpinum subsp. lanatum","Volume 5","Cerastium alpinum subsp. lanatum"
"Cerastium arcticum","Volume 5","Cerastium arcticum"
"Cerastium arvense","Volume 5","Cerastium arvense"
"Cerastium arvense subsp. strictum","Volume 5","Cerastium arvense subsp. strictum"
"Cerastium beeringianum","Volume 5","Cerastium beeringianum"
"Cerastium bialynickii","Volume 5","Cerastium bialynickii"
"Cerastium fontanum","Volume 5","Cerastium fontanum"
"Cerastium fontanum subsp. vulgare","Volume 5","Cerastium fontanum subsp. vulgare"
"Cerastium maximum","Volume 5","Cerastium maximum"
"Cerastium nutans","Volume 5","Cerastium nutans"
"Cerastium nutans var. nutans","Volume 5","Cerastium nutans var. nutans"
"Cerastium regelii","Volume 5","Cerastium regelii"
"Ceratodon heterophyllus","Volume 27","Ceratodon heterophyllus"
"Ceratodon purpureus subsp. purpureus","Volume 27","Ceratodon purpureus subsp. purpureus"
"Ceratophyllum demersum","Volume 3","Ceratophyllum demersum"
"Chaenorhinum minus","Volume 17","Chaenorhinum minus"
"Chaenorhinum minus subsp. minus","Volume 17","Chaenorhinum minus subsp. minus"
"Chamaedaphne calyculata","Volume 8","Chamaedaphne calyculata"
"Chamaerhodos erecta","Volume 9","Chamaerhodos erecta"
"Chenopodium album","Volume 4","Chenopodium album"
"Chenopodium berlandieri","Volume 4","Chenopodium berlandieri"
"Chenopodium berlandieri var. zschackei","Volume 4","Chenopodium berlandieri var. zschackei"
"Chenopodium capitatum","Volume 4","Chenopodium capitatum"
"Chenopodium capitatum var. capitatum","Volume 4","Chenopodium capitatum var. capitatum"
"Chenopodium glaucum","Volume 4","Chenopodium glaucum"
"Chenopodium glaucum var. salinum","Volume 4","Chenopodium glaucum var. salinum"
"Chenopodium pratericola","Volume 4","Chenopodium pratericola"
"Chenopodium rubrum","Volume 4","Chenopodium rubrum"
"Chenopodium rubrum var. rubrum","Volume 4","Chenopodium rubrum var. rubrum"
"Chenopodium simplex","Volume 4","Chenopodium simplex"
"Chimaphila umbellata","Volume 8","Chimaphila umbellata"
"Chimaphila umbellata subsp. umbellata","Volume 8","Chimaphila umbellata subsp. umbellata"
"Chrysosplenium iowense","Volume 8","Chrysosplenium iowense"
"Chrysosplenium tetrandrum","Volume 8","Chrysosplenium tetrandrum"
"Cinclidium arcticum","Volume 28","Cinclidium arcticum"
"Cinclidium latifolium","Volume 28","Cinclidium latifolium"
"Cinclidium stygium","Volume 28","Cinclidium stygium"
"Cinclidium subrotundum","Volume 28","Cinclidium subrotundum"
"Cinna","Volume 24","Cinna"
"Cinna latifolia","Volume 24","Cinna latifolia"
"Cirriphyllum piliferum","Volume 28","Cirriphyllum piliferum"
"Cirsium arvense","Volume 19","Cirsium arvense"
"Cirsium drummondii","Volume 19","Cirsium drummondii"
"Cirsium foliosum","Volume 19","Cirsium foliosum"
"Claytonia megarhiza","Volume 4","Claytonia megarhiza"
"Claytonia tuberosa","Volume 4","Claytonia tuberosa"
"Climacium dendroides","Volume 28","Climacium dendroides"
"Cochlearia groenlandica","Volume 7","Cochlearia groenlandica"
"Codriophorus fascicularis","Volume 27","Codriophorus fascicularis"
"Coeloglossum viride","Volume 26","Coeloglossum viride"
"Comandra umbellata","Volume 12","Comandra umbellata"
"Comandra umbellata subsp. pallida","Volume 12","Comandra umbellata subsp. pallida"
"Comarum palustre","Volume 9","Comarum palustre"
"Conardia compacta","Volume 28","Conardia compacta"
"Conostomum tetragonum","Volume 28","Conostomum tetragonum"
"Coptis trifolia","Volume 3","Coptis trifolia"
"Corallorhiza trifida","Volume 26","Corallorhiza trifida"
"Corispermum hookeri","Volume 4","Corispermum hookeri"
"Corispermum hookeri var. hookeri","Volume 4","Corispermum hookeri var. hookeri"
