"","Volume","Taxon name"
"Antennaria howellii subsp. petaloidea","Volume 19","Antennaria howellii subsp. petaloidea"
"Antennaria lanata","Volume 19","Antennaria lanata"
"Antennaria luzuloides","Volume 19","Antennaria luzuloides"
"Antennaria luzuloides subsp. luzuloides","Volume 19","Antennaria luzuloides subsp. luzuloides"
"Antennaria media","Volume 19","Antennaria media"
"Antennaria microphylla","Volume 19","Antennaria microphylla"
"Antennaria monocephala","Volume 19","Antennaria monocephala"
"Antennaria monocephala subsp. angustata","Volume 19","Antennaria monocephala subsp. angustata"
"Antennaria neglecta","Volume 19","Antennaria neglecta"
"Antennaria parvifolia","Volume 19","Antennaria parvifolia"
"Antennaria pulcherrima","Volume 19","Antennaria pulcherrima"
"Antennaria pulcherrima subsp. pulcherrima","Volume 19","Antennaria pulcherrima subsp. pulcherrima"
"Antennaria racemosa","Volume 19","Antennaria racemosa"
"Antennaria rosea","Volume 19","Antennaria rosea"
"Antennaria rosea subsp. arida","Volume 19","Antennaria rosea subsp. arida"
"Antennaria rosea subsp. confinis","Volume 19","Antennaria rosea subsp. confinis"
"Antennaria rosea subsp. pulvinata","Volume 19","Antennaria rosea subsp. pulvinata"
"Antennaria rosea subsp. rosea","Volume 19","Antennaria rosea subsp. rosea"
"Antennaria umbrinella","Volume 19","Antennaria umbrinella"
"Anthemis cotula","Volume 19","Anthemis cotula"
"Anthoxanthum","Volume 24","Anthoxanthum"
"Anthoxanthum arcticum","Volume 24","Anthoxanthum arcticum"
"Anthoxanthum hirtum","Volume 24","Anthoxanthum hirtum"
"Anthoxanthum monticola","Volume 24","Anthoxanthum monticola"
"Anthoxanthum monticola subsp. alpinum","Volume 24","Anthoxanthum monticola subsp. alpinum"
"Anthoxanthum monticola subsp. monticola","Volume 24","Anthoxanthum monticola subsp. monticola"
"Anthoxanthum nitens","Volume 24","Anthoxanthum nitens"
"Anthoxanthum occidentale","Volume 24","Anthoxanthum occidentale"
"Aongstroemia longipes","Volume 27","Aongstroemia longipes"
"Aquilegia brevistyla","Volume 3","Aquilegia brevistyla"
"Aquilegia flavescens","Volume 3","Aquilegia flavescens"
"Aquilegia formosa","Volume 3","Aquilegia formosa"
"Aquilegia formosa var. formosa","Volume 3","Aquilegia formosa var. formosa"
"Aquilegia jonesii","Volume 3","Aquilegia jonesii"
"Arabidopsis lyrata","Volume 7","Arabidopsis lyrata"
"Arabidopsis lyrata subsp. kamchatica","Volume 7","Arabidopsis lyrata subsp. kamchatica"
"Arabidopsis lyrata subsp. lyrata","Volume 7","Arabidopsis lyrata subsp. lyrata"
"Arabis eschscholtziana","Volume 7","Arabis eschscholtziana"
"Arabis nuttallii","Volume 7","Arabis nuttallii"
"Arabis pycnocarpa","Volume 7","Arabis pycnocarpa"
"Arabis pycnocarpa var. pycnocarpa","Volume 7","Arabis pycnocarpa var. pycnocarpa"
"Arceuthobium americanum","Volume 12","Arceuthobium americanum"
"Arctagrostis","Volume 24","Arctagrostis"
"Arctagrostis latifolia","Volume 24","Arctagrostis latifolia"
"Arctagrostis latifolia subsp. arundinacea","Volume 24","Arctagrostis latifolia subsp. arundinacea"
"Arctagrostis latifolia subsp. latifolia","Volume 24","Arctagrostis latifolia subsp. latifolia"
"Arctium lappa","Volume 19","Arctium lappa"
"Arctium minus","Volume 19","Arctium minus"
"Arctium tomentosum","Volume 19","Arctium tomentosum"
"Arctoa fulvella","Volume 27","Arctoa fulvella"
"Arctostaphylos uva-ursi","Volume 8","Arctostaphylos uva-ursi"
"Arctous alpina","Volume 8","Arctous alpina"
"Arctous rubra","Volume 8","Arctous rubra"
"Arenaria longipedunculata","Volume 5","Arenaria longipedunculata"
"Arenaria serpyllifolia","Volume 5","Arenaria serpyllifolia"
"Arenaria serpyllifolia var. serpyllifolia","Volume 5","Arenaria serpyllifolia var. serpyllifolia"
"Aristida","Volume 25","Aristida"
"Aristida purpurea","Volume 25","Aristida purpurea"
"Aristida purpurea var. longiseta","Volume 25","Aristida purpurea var. longiseta"
"Arnica angustifolia","Volume 21","Arnica angustifolia"
"Arnica angustifolia subsp. angustifolia","Volume 21","Arnica angustifolia subsp. angustifolia"
"Arnica angustifolia subsp. tomentosa","Volume 21","Arnica angustifolia subsp. tomentosa"
"Arnica chamissonis","Volume 21","Arnica chamissonis"
"Arnica cordifolia","Volume 21","Arnica cordifolia"
"Arnica fulgens","Volume 21","Arnica fulgens"
"Arnica gracilis","Volume 21","Arnica gracilis"
"Arnica lanceolata","Volume 21","Arnica lanceolata"
"Arnica lanceolata subsp. prima","Volume 21","Arnica lanceolata subsp. prima"
"Arnica latifolia","Volume 21","Arnica latifolia"
"Arnica lonchophylla","Volume 21","Arnica lonchophylla"
"Arnica longifolia","Volume 21","Arnica longifolia"
"Arnica louiseana","Volume 21","Arnica louiseana"
"Arnica mollis","Volume 21","Arnica mollis"
"Arnica ovata","Volume 21","Arnica ovata"
"Arnica parryi","Volume 21","Arnica parryi"
"Arnica rydbergii","Volume 21","Arnica rydbergii"
"Arnica sororia","Volume 21","Arnica sororia"
"Artemisia abrotanum","Volume 19","Artemisia abrotanum"
"Artemisia absinthium","Volume 19","Artemisia absinthium"
"Artemisia biennis","Volume 19","Artemisia biennis"
"Artemisia borealis","Volume 19","Artemisia borealis"
"Artemisia borealis subsp. borealis","Volume 19","Artemisia borealis subsp. borealis"
"Artemisia campestris","Volume 19","Artemisia campestris"
"Artemisia campestris subsp. pacifica","Volume 19","Artemisia campestris subsp. pacifica"
"Artemisia cana","Volume 19","Artemisia cana"
"Artemisia cana subsp. cana","Volume 19","Artemisia cana subsp. cana"
"Artemisia dracunculus","Volume 19","Artemisia dracunculus"
"Artemisia frigida","Volume 19","Artemisia frigida"
"Artemisia furcata","Volume 19","Artemisia furcata"
"Artemisia longifolia","Volume 19","Artemisia longifolia"
"Artemisia ludoviciana","Volume 19","Artemisia ludoviciana"
"Artemisia ludoviciana subsp. candicans","Volume 19","Artemisia ludoviciana subsp. candicans"
"Artemisia ludoviciana subsp. incompta","Volume 19","Artemisia ludoviciana subsp. incompta"
"Artemisia ludoviciana subsp. ludoviciana","Volume 19","Artemisia ludoviciana subsp. ludoviciana"
"Artemisia michauxiana","Volume 19","Artemisia michauxiana"
"Artemisia norvegica","Volume 19","Artemisia norvegica"
"Artemisia norvegica subsp. saxatilis","Volume 19","Artemisia norvegica subsp. saxatilis"
"Artemisia tilesii","Volume 19","Artemisia tilesii"
"Artemisia tridentata","Volume 19","Artemisia tridentata"
"Artemisia tridentata subsp. tridentata","Volume 19","Artemisia tridentata subsp. tridentata"
"Artemisia vulgaris","Volume 19","Artemisia vulgaris"
"Aruncus dioicus","Volume 9","Aruncus dioicus"
"Aruncus dioicus var. acuminatus","Volume 9","Aruncus dioicus var. acuminatus"
"Asparagus officinalis","Volume 26","Asparagus officinalis"
"Asplenium trichomanes-ramosum","Volume 2","Asplenium trichomanes-ramosum"
"Aster alpinus","Volume 20","Aster alpinus"
"Aster alpinus subsp. vierhapperi","Volume 20","Aster alpinus subsp. vierhapperi"
"Athyrium distentifolium","Volume 2","Athyrium distentifolium"
"Athyrium distentifolium var. americanum","Volume 2","Athyrium distentifolium var. americanum"
"Athyrium filix-femina","Volume 2","Athyrium filix-femina"
"Athyrium filix-femina var. cyclosorum","Volume 2","Athyrium filix-femina var. cyclosorum"
"Atrichum selwynii","Volume 27","Atrichum selwynii"
"Atriplex argentea","Volume 4","Atriplex argentea"
"Atriplex argentea var. argentea","Volume 4","Atriplex argentea var. argentea"
"Atriplex canescens","Volume 4","Atriplex canescens"
"Atriplex canescens var. canescens","Volume 4","Atriplex canescens var. canescens"
"Atriplex dioica","Volume 4","Atriplex dioica"
"Atriplex gardneri","Volume 4","Atriplex gardneri"
"Atriplex gardneri var. aptera","Volume 4","Atriplex gardneri var. aptera"
"Atriplex gardneri var. gardneri","Volume 4","Atriplex gardneri var. gardneri"
"Atriplex glabriuscula","Volume 4","Atriplex glabriuscula"
"Atriplex glabriuscula var. glabriuscula","Volume 4","Atriplex glabriuscula var. glabriuscula"
"Atriplex heterosperma","Volume 4","Atriplex heterosperma"
"Atriplex hortensis","Volume 4","Atriplex hortensis"
"Atriplex oblongifolia","Volume 4","Atriplex oblongifolia"
"Atriplex patula","Volume 4","Atriplex patula"
"Atriplex powellii","Volume 4","Atriplex powellii"
"Atriplex powellii var. powellii","Volume 4","Atriplex powellii var. powellii"
"Atriplex prostrata","Volume 4","Atriplex prostrata"
"Atriplex rosea","Volume 4","Atriplex rosea"
"Atriplex suckleyi","Volume 4","Atriplex suckleyi"
"Atriplex truncata","Volume 4","Atriplex truncata"
"Aulacomnium palustre","Volume 28","Aulacomnium palustre"
"Aulacomnium turgidum","Volume 28","Aulacomnium turgidum"
"Avena","Volume 24","Avena"
"Avena fatua","Volume 24","Avena fatua"
"Avena sativa","Volume 24","Avena sativa"
"Avenula","Volume 24","Avenula"
"Avenula hookeri","Volume 24","Avenula hookeri"
"Avenula pubescens","Volume 24","Avenula pubescens"
"Axyris amaranthoides","Volume 4","Axyris amaranthoides"
"Bacopa rotundifolia","Volume 17","Bacopa rotundifolia"
"Balsamorhiza sagittata","Volume 21","Balsamorhiza sagittata"
"Barbarea orthoceras","Volume 7","Barbarea orthoceras"
"Barbarea vulgaris","Volume 7","Barbarea vulgaris"
"Barbula amplexifolia","Volume 27","Barbula amplexifolia"
"Barbula convoluta var. convoluta","Volume 27","Barbula convoluta var. convoluta"
"Barbula indica var. gregaria","Volume 27","Barbula indica var. gregaria"
"Barbula unguiculata","Volume 27","Barbula unguiculata"
"Bartramia halleriana","Volume 28","Bartramia halleriana"
"Bartramia ithyphylla","Volume 28","Bartramia ithyphylla"
"Bassia hyssopifolia","Volume 4","Bassia hyssopifolia"
"Beckmannia","Volume 24","Beckmannia"
"Beckmannia syzigachne","Volume 24","Beckmannia syzigachne"
"Berberis repens","Volume 3","Berberis repens"
"Betula glandulosa","Volume 3","Betula glandulosa"
"Betula nana","Volume 3","Betula nana"
"Betula nana subsp. exilis","Volume 3","Betula nana subsp. exilis"
"Betula neoalaskana","Volume 3","Betula neoalaskana"
"Betula occidentalis","Volume 3","Betula occidentalis"
"Betula papyrifera","Volume 3","Betula papyrifera"
"Betula pumila","Volume 3","Betula pumila"
"Bidens cernua","Volume 21","Bidens cernua"
"Bidens frondosa","Volume 21","Bidens frondosa"
"Bidens tripartita","Volume 21","Bidens tripartita"
"Bidens vulgata","Volume 21","Bidens vulgata"
"Bistorta bistortoides","Volume 5","Bistorta bistortoides"
"Bistorta vivipara","Volume 5","Bistorta vivipara"
"Blindia acuta","Volume 27","Blindia acuta"
"Boechera calderi","Volume 7","Boechera calderi"
"Boechera collinsii","Volume 7","Boechera collinsii"
"Boechera drepanoloba","Volume 7","Boechera drepanoloba"
"Boechera grahamii","Volume 7","Boechera grahamii"
"Boechera lemmonii","Volume 7","Boechera lemmonii"
"Boechera retrofracta","Volume 7","Boechera retrofracta"
"Boechera stricta","Volume 7","Boechera stricta"
"Bolboschoenus fluviatilis","Volume 23","Bolboschoenus fluviatilis"
"Bolboschoenus maritimus","Volume 23","Bolboschoenus maritimus"
"Bolboschoenus maritimus subsp. paludosus","Volume 23","Bolboschoenus maritimus subsp. paludosus"
"Boschniakia rossica","Volume 17","Boschniakia rossica"
"Botrychium campestre","Volume 2","Botrychium campestre"
"Botrychium hesperium","Volume 2","Botrychium hesperium"
"Botrychium lanceolatum","Volume 2","Botrychium lanceolatum"
"Botrychium lanceolatum subsp. angustisegmentum","Volume 2","Botrychium lanceolatum subsp. angustisegmentum"
"Botrychium lanceolatum subsp. lanceolatum","Volume 2","Botrychium lanceolatum subsp. lanceolatum"
"Botrychium lunaria","Volume 2","Botrychium lunaria"
"Botrychium minganense","Volume 2","Botrychium minganense"
"Botrychium multifidum","Volume 2","Botrychium multifidum"
"Botrychium paradoxum","Volume 2","Botrychium paradoxum"
"Botrychium pedunculosum","Volume 2","Botrychium pedunculosum"
"Botrychium pinnatum","Volume 2","Botrychium pinnatum"
"Botrychium simplex","Volume 2","Botrychium simplex"
"Botrychium spathulatum","Volume 2","Botrychium spathulatum"
"Botrychium virginianum","Volume 2","Botrychium virginianum"
"Bouteloua","Volume 25","Bouteloua"
"Bouteloua chondrosoides","Volume 25","Bouteloua chondrosoides"
"Bouteloua curtipendula","Volume 25","Bouteloua curtipendula"
"Bouteloua curtipendula var. curtipendula","Volume 25","Bouteloua curtipendula var. curtipendula"
"Bouteloua gracilis","Volume 25","Bouteloua gracilis"
"Bouteloua subg. Bouteloua","Volume 25","Bouteloua subg. Bouteloua"
"Bouteloua subg. Chondrosum","Volume 25","Bouteloua subg. Chondrosum"
"Brachytheciastrum collinum","Volume 28","Brachytheciastrum collinum"
"Brachytheciastrum fendleri","Volume 28","Brachytheciastrum fendleri"
"Brachytheciastrum leibergii","Volume 28","Brachytheciastrum leibergii"
"Brachytheciastrum velutinum var. velutinum","Volume 28","Brachytheciastrum velutinum var. velutinum"
"Brachythecium albicans","Volume 28","Brachythecium albicans"
"Brachythecium asperrimum","Volume 28","Brachythecium asperrimum"
"Brachythecium cirrosum","Volume 28","Brachythecium cirrosum"
"Brachythecium coruscum","Volume 28","Brachythecium coruscum"
"Brachythecium frigidum","Volume 28","Brachythecium frigidum"
"Brachythecium rivulare","Volume 28","Brachythecium rivulare"
"Brachythecium turgidum","Volume 28","Brachythecium turgidum"
"Brasenia schreberi","Volume 3","Brasenia schreberi"
"Brassica juncea","Volume 7","Brassica juncea"
"Brassica napus","Volume 7","Brassica napus"
"Brassica nigra","Volume 7","Brassica nigra"
"Brassica rapa","Volume 7","Brassica rapa"
"Braya glabella","Volume 7","Braya glabella"
"Braya glabella subsp. glabella","Volume 7","Braya glabella subsp. glabella"
"Braya humilis","Volume 7","Braya humilis"
"Braya humilis subsp. humilis","Volume 7","Braya humilis subsp. humilis"
"Braya humilis subsp. maccallae","Volume 7","Braya humilis subsp. maccallae"
"Braya humilis subsp. porsildii","Volume 7","Braya humilis subsp. porsildii"
"Briza","Volume 24","Briza"
"Briza maxima","Volume 24","Briza maxima"
"Briza minor","Volume 24","Briza minor"
"Bromus","Volume 24","Bromus"
"Bromus aleutensis","Volume 24","Bromus aleutensis"
"Bromus anomalus","Volume 24","Bromus anomalus"
"Bromus arvensis","Volume 24","Bromus arvensis"
"Bromus carinatus","Volume 24","Bromus carinatus"
"Bromus carinatus var. carinatus","Volume 24","Bromus carinatus var. carinatus"
"Bromus carinatus var. marginatus","Volume 24","Bromus carinatus var. marginatus"
"Bromus caroli-henrici","Volume 24","Bromus caroli-henrici"
"Bromus catharticus","Volume 24","Bromus catharticus"
"Bromus catharticus var. catharticus","Volume 24","Bromus catharticus var. catharticus"
"Bromus catharticus var. elatus","Volume 24","Bromus catharticus var. elatus"
"Bromus ciliatus","Volume 24","Bromus ciliatus"
"Bromus commutatus","Volume 24","Bromus commutatus"
"Bromus erectus","Volume 24","Bromus erectus"
"Bromus hallii","Volume 24","Bromus hallii"
"Bromus hordeaceus","Volume 24","Bromus hordeaceus"
"Bromus hordeaceus subsp. hordeaceus","Volume 24","Bromus hordeaceus subsp. hordeaceus"
"Bromus hordeaceus subsp. molliformis","Volume 24","Bromus hordeaceus subsp. molliformis"
"Bromus hordeaceus subsp. pseudothominei","Volume 24","Bromus hordeaceus subsp. pseudothominei"
"Bromus hordeaceus subsp. thominei","Volume 24","Bromus hordeaceus subsp. thominei"
"Bromus inermis","Volume 24","Bromus inermis"
"Bromus japonicus","Volume 24","Bromus japonicus"
"Bromus lanceolatus","Volume 24","Bromus lanceolatus"
"Bromus latiglumis","Volume 24","Bromus latiglumis"
"Bromus pumpellianus","Volume 24","Bromus pumpellianus"
"Bromus pumpellianus subsp. dicksonii","Volume 24","Bromus pumpellianus subsp. dicksonii"
"Bromus pumpellianus subsp. pumpellianus","Volume 24","Bromus pumpellianus subsp. pumpellianus"
"Bromus racemosus","Volume 24","Bromus racemosus"
"Bromus richardsonii","Volume 24","Bromus richardsonii"
"Bromus riparius","Volume 24","Bromus riparius"
"Bromus secalinus","Volume 24","Bromus secalinus"
"Bromus sect. Bromopsis","Volume 24","Bromus sect. Bromopsis"
"Bromus sect. Bromus","Volume 24","Bromus sect. Bromus"
"Bromus sect. Ceratochloa","Volume 24","Bromus sect. Ceratochloa"
"Bromus sect. Genea","Volume 24","Bromus sect. Genea"
"Bromus sect. Neobromus","Volume 24","Bromus sect. Neobromus"
"Bromus squarrosus","Volume 24","Bromus squarrosus"
"Bromus tectorum","Volume 24","Bromus tectorum"
"Bromus vulgaris","Volume 24","Bromus vulgaris"
"Bryobrittonia longipes","Volume 27","Bryobrittonia longipes"
"Bryoerythrophyllum ferruginascens","Volume 27","Bryoerythrophyllum ferruginascens"
"Bryoerythrophyllum recurvirostrum","Volume 27","Bryoerythrophyllum recurvirostrum"
"Bryum argenteum var. argenteum","Volume 28","Bryum argenteum var. argenteum"
"Bryum calobryoides","Volume 28","Bryum calobryoides"
"Bryum lanatum","Volume 28","Bryum lanatum"
"Bucklandiella sudetica","Volume 27","Bucklandiella sudetica"
"Buxbaumia aphylla","Volume 27","Buxbaumia aphylla"
"Buxbaumia piperi","Volume 27","Buxbaumia piperi"
"Buxbaumia viridis","Volume 27","Buxbaumia viridis"
"Calamagrostis","Volume 24","Calamagrostis"
"Calamagrostis canadensis","Volume 24","Calamagrostis canadensis"
"Calamagrostis canadensis var. canadensis","Volume 24","Calamagrostis canadensis var. canadensis"
"Calamagrostis canadensis var. langsdorffii","Volume 24","Calamagrostis canadensis var. langsdorffii"
"Calamagrostis canadensis var. macouniana","Volume 24","Calamagrostis canadensis var. macouniana"
"Calamagrostis cinnoides","Volume 24","Calamagrostis cinnoides"
"Calamagrostis epigejos","Volume 24","Calamagrostis epigejos"
"Calamagrostis lapponica","Volume 24","Calamagrostis lapponica"
"Calamagrostis montanensis","Volume 24","Calamagrostis montanensis"
"Calamagrostis purpurascens","Volume 24","Calamagrostis purpurascens"
"Calamagrostis rubescens","Volume 24","Calamagrostis rubescens"
"Calamagrostis stricta","Volume 24","Calamagrostis stricta"
"Calamagrostis stricta subsp. inexpansa","Volume 24","Calamagrostis stricta subsp. inexpansa"
"Calamagrostis stricta subsp. stricta","Volume 24","Calamagrostis stricta subsp. stricta"
"Calamagrostis ×acutiflora","Volume 24","Calamagrostis ×acutiflora"
"Calamovilfa","Volume 25","Calamovilfa"
"Calamovilfa longifolia","Volume 25","Calamovilfa longifolia"
"Calamovilfa longifolia var. longifolia","Volume 25","Calamovilfa longifolia var. longifolia"
"Calla palustris","Volume 22","Calla palustris"
"Calliergon cordifolium","Volume 28","Calliergon cordifolium"
"Calliergon giganteum","Volume 28","Calliergon giganteum"
"Calliergon richardsonii","Volume 28","Calliergon richardsonii"
"Calliergonella cuspidata","Volume 28","Calliergonella cuspidata"
"Callitriche hermaphroditica","Volume 17","Callitriche hermaphroditica"
"Callitriche heterophylla","Volume 17","Callitriche heterophylla"
"Callitriche palustris","Volume 17","Callitriche palustris"
"Callitriche stenoptera","Volume 17","Callitriche stenoptera"
"Calochortus apiculatus","Volume 26","Calochortus apiculatus"
"Caltha leptosepala","Volume 3","Caltha leptosepala"
"Caltha natans","Volume 3","Caltha natans"
"Caltha palustris","Volume 3","Caltha palustris"
"Calypso bulbosa var. americana","Volume 26","Calypso bulbosa var. americana"
"Camassia quamash subsp. quamash","Volume 26","Camassia quamash subsp. quamash"
"Camelina alyssum","Volume 7","Camelina alyssum"
"Camelina microcarpa","Volume 7","Camelina microcarpa"
"Camelina sativa","Volume 7","Camelina sativa"
"Campyliadelphus chrysophyllus","Volume 28","Campyliadelphus chrysophyllus"
"Campylium protensum","Volume 28","Campylium protensum"
"Campylium stellatum","Volume 28","Campylium stellatum"
"Campylophyllum halleri","Volume 28","Campylophyllum halleri"
"Campylophyllum hispidulum","Volume 28","Campylophyllum hispidulum"
"Campylophyllum sommerfeltii","Volume 28","Campylophyllum sommerfeltii"
"Canadanthus modestus","Volume 20","Canadanthus modestus"
"Capsella bursa-pastoris","Volume 7","Capsella bursa-pastoris"
"Cardamine bellidifolia","Volume 7","Cardamine bellidifolia"
"Cardamine parviflora","Volume 7","Cardamine parviflora"
"Cardamine pensylvanica","Volume 7","Cardamine pensylvanica"
