"x"
"Abies bifolia"
"Caltha natans"
"Caltha palustris"
"Calypso bulbosa var. americana"
"Camelina microcarpa"
"Camelina sativa"
"Campyliadelphus chrysophyllus"
"Campylium protensum"
"Campylium stellatum"
"Campylophyllum halleri"
"Campylophyllum sommerfeltii"
"Capsella bursa-pastoris"
"Cardamine bellidifolia"
"Cardamine digitata"
"Cardamine microphylla"
"Cardamine nymanii"
"Cardamine parviflora"
"Cardamine pensylvanica"
"Cardamine umbellata"
"Carex adelostoma"
"Carex albonigra"
"Carex aquatilis"
"Carex aquatilis var. aquatilis"
"Carex aquatilis var. minor"
"Carex atherodes"
"Carex atratiformis"
"Carex atrofusca"
"Carex atrosquama"
"Carex aurea"
"Carex bebbii"
"Carex bicolor"
"Carex bigelowii"
"Carex bigelowii subsp. bigelowii"
"Carex bigelowii subsp. lugens"
"Carex bonanzensis"
"Carex brunnescens"
"Carex brunnescens subsp. brunnescens"
"Carex buxbaumii"
"Carex canescens"
"Carex canescens subsp. canescens"
"Carex capillaris"
"Carex capitata"
"Carex chordorrhiza"
"Carex concinna"
"Carex crawfordii"
"Carex deflexa"
"Carex deflexa var. deflexa"
"Carex deweyana"
"Carex deweyana var. deweyana"
"Carex diandra"
"Carex disperma"
"Carex duriuscula"
"Carex eburnea"
"Carex filifolia"
"Carex filifolia var. filifolia"
"Carex foenea"
"Carex fuliginosa"
"Carex garberi"
"Carex glacialis"
"Carex glareosa"
"Carex glareosa subsp. glareosa"
"Carex gynocrates"
"Carex heleonastes"
"Carex holostoma"
"Carex interior"
"Carex krausei"
"Carex lachenalii"
"Carex lapponica"
"Carex lenticularis"
"Carex lenticularis var. lenticularis"
"Carex leptalea"
"Carex limosa"
"Carex livida"
"Carex loliacea"
"Carex mackenziei"
"Carex macloviana"
"Carex magellanica"
"Carex magellanica subsp. irrigua"
"Carex marina"
"Carex maritima"
"Carex media"
"Carex membranacea"
"Carex microchaeta"
"Carex microchaeta subsp. microchaeta"
"Carex microglochin"
"Carex microglochin subsp. microglochin"
"Carex microptera"
"Carex nardina"
"Carex obtusata"
"Carex petasata"
"Carex petricosa"
"Carex petricosa var. petricosa"
"Carex podocarpa"
"Carex prairea"
"Carex praticola"
"Carex rariflora"
"Carex richardsonii"
"Carex rossii"
"Carex rostrata"
"Carex rotundata"
"Carex rupestris"
"Carex sartwellii"
"Carex saxatilis"
"Carex scirpoidea"
"Carex scirpoidea subsp. scirpoidea"
"Carex siccata"
"Carex subspathacea"
"Carex supina"
"Carex supina subsp. spaniocarpa"
"Carex sychnocephala"
"Carex tenuiflora"
"Carex trisperma"
"Carex ursina"
"Carex utriculata"
"Carex vaginata"
"Carex viridula"
"Carex viridula var. viridula"
"Carex williamsii"
"Cassiope tetragona"
"Cassiope tetragona subsp. saximontana"
"Cassiope tetragona subsp. tetragona"
"Castilleja elegans"
"Castilleja hyperborea"
"Castilleja pallida"
"Castilleja pallida var. caudata"
"Castilleja pallida var. yukonis"
"Castilleja raupii"
"Castilleja septentrionalis"
"Catoscopium nigritum"
"Cerastium alpinum"
"Cerastium alpinum subsp. alpinum"
"Cerastium alpinum subsp. lanatum"
"Cerastium arcticum"
"Cerastium arvense"
"Cerastium arvense subsp. strictum"
"Cerastium beeringianum"
"Cerastium bialynickii"
"Cerastium fontanum"
"Cerastium fontanum subsp. vulgare"
"Cerastium maximum"
"Cerastium nutans"
"Cerastium nutans var. nutans"
"Cerastium regelii"
"Ceratodon heterophyllus"
"Ceratodon purpureus subsp. purpureus"
"Ceratophyllum demersum"
"Chaenorhinum minus"
"Chaenorhinum minus subsp. minus"
"Chamaedaphne calyculata"
"Chamaerhodos erecta"
"Chenopodium album"
"Chenopodium berlandieri"
"Chenopodium berlandieri var. zschackei"
"Chenopodium capitatum"
"Chenopodium capitatum var. capitatum"
"Chenopodium glaucum"
"Chenopodium glaucum var. salinum"
"Chenopodium pratericola"
"Chenopodium rubrum"
"Chenopodium rubrum var. rubrum"
"Chenopodium simplex"
"Chimaphila umbellata"
"Chimaphila umbellata subsp. umbellata"
"Chrysosplenium iowense"
"Chrysosplenium tetrandrum"
"Cinclidium arcticum"
"Cinclidium latifolium"
"Cinclidium stygium"
"Cinclidium subrotundum"
"Cinna"
"Cinna latifolia"
"Cirriphyllum piliferum"
"Cirsium arvense"
"Cirsium drummondii"
"Cirsium foliosum"
"Claytonia megarhiza"
"Claytonia tuberosa"
"Climacium dendroides"
"Cochlearia groenlandica"
"Codriophorus fascicularis"
"Coeloglossum viride"
"Comandra umbellata"
"Comandra umbellata subsp. pallida"
"Comarum palustre"
"Conardia compacta"
"Conostomum tetragonum"
"Coptis trifolia"
"Corallorhiza trifida"
"Corispermum hookeri"
"Corispermum hookeri var. hookeri"
"Corispermum ochotense"
"Corispermum ochotense var. ochotense"
"Cornus canadensis"
"Cornus sericea"
"Cornus suecica"
"Corydalis aurea"
"Corydalis aurea subsp. aurea"
"Corydalis pauciflora"
"Corydalis sempervirens"
"Coscinodon arctolimnius"
"Coscinodon cribrosus"
"Crassula aquatica"
"Cratoneuron filicinum"
"Crepis elegans"
"Crepis nana"
"Crepis tectorum"
"Cryptogramma acrostichoides"
"Cryptogramma sitchensis"
"Cryptogramma stelleri"
"Cynodontium alpestre"
"Cynodontium glaucescens"
"Cynodontium gracilescens"
"Cynodontium polycarpon"
"Cynodontium strumiferum"
"Cynodontium tenellum"
"Cypripedium acaule"
"Cypripedium guttatum"
"Cypripedium parviflorum var. makasin"
"Cypripedium parviflorum var. pubescens"
"Cypripedium passerinum"
"Cyrtomnium hymenophylloides"
"Cyrtomnium hymenophyllum"
"Cystopteris fragilis"
"Cystopteris montana"
"Danthonia"
"Danthonia spicata"
"Dasiphora fruticosa"
"Delphinium glaucum"
"Deschampsia"
"Deschampsia brevifolia"
"Deschampsia cespitosa"
"Deschampsia cespitosa subsp. beringensis"
"Deschampsia cespitosa subsp. cespitosa"
"Deschampsia cespitosa subsp. holciformis"
"Deschampsia mackenzieana"
"Deschampsia sukatschewii"
"Descurainia incana"
"Descurainia pinnata"
"Descurainia pinnata subsp. brachycarpa"
"Descurainia sophia"
"Descurainia sophioides"
"Diapensia obovata"
"Dicranella cerviculata"
"Dicranella crispa"
"Dicranella schreberiana"
"Dicranum acutifolium"
"Dicranum bonjeanii"
"Dicranum brevifolium"
"Dicranum elongatum"
"Dicranum flagellare"
"Dicranum fragilifolium"
"Dicranum fuscescens var. flexicaule"
"Dicranum fuscescens var. fuscescens"
"Dicranum groenlandicum"
"Dicranum leioneuron"
"Dicranum majus var. majus"
"Dicranum majus var. orthophyllum"
"Dicranum montanum"
"Dicranum muehlenbeckii"
"Dicranum polysetum"
"Dicranum scoparium"
"Dicranum tauricum"
"Dicranum undulatum"
"Didymodon asperifolius"
"Didymodon fallax"
"Didymodon ferrugineus"
"Didymodon giganteus"
"Didymodon johansenii"
"Didymodon leskeoides"
"Didymodon maschalogena"
"Didymodon nigrescens"
"Didymodon perobtusus"
"Didymodon rigidulus var. ditrichoides"
"Didymodon rigidulus var. gracilis"
"Didymodon rigidulus var. rigidulus"
"Didymodon subandreaeoides"
"Didymodon tophaceus"
"Diphasiastrum alpinum"
"Diphasiastrum complanatum"
"Discelium nudum"
"Distichium capillaceum"
"Distichium hagenii"
"Distichium inclinatum"
"Distichlis"
"Distichlis spicata"
"Ditrichum flexicaule"
"Ditrichum gracile"
"Dodecatheon frigidum"
"Dodecatheon pulchellum"
"Dodecatheon pulchellum var. pulchellum"
"Douglasia arctica"
"Douglasia ochotensis"
"Draba albertina"
"Draba arctogena"
"Draba aurea"
"Draba borealis"
"Draba cana"
"Draba cinerea"
"Draba corymbosa"
"Draba crassifolia"
"Draba fladnizensis"
"Draba glabella"
"Draba juvenilis"
"Draba lactea"
"Draba lonchocarpa"
"Draba micropetala"
"Draba nemorosa"
"Draba nivalis"
"Draba norvegica"
"Draba oblongata"
"Draba ogilviensis"
"Draba oligosperma"
"Draba palanderiana"
"Draba pauciflora"
"Draba pilosa"
"Draba praealta"
"Draba simmonsii"
"Draba subcapitata"
"Drepanocladus aduncus"
"Drepanocladus arcticus"
"Drepanocladus longifolius"
"Drepanocladus polygamus"
"Drepanocladus sordidus"
"Drosera anglica"
"Drosera linearis"
"Drosera rotundifolia"
"Dryas ajanensis"
"Dryas ajanensis subsp. beringensis"
"Dryas drummondii"
"Dryas hookeriana"
"Dryas incisa"
"Dryas integrifolia"
"Dryas integrifolia subsp. integrifolia"
"Dryas integrifolia subsp. sylvatica"
"Drymocallis arguta"
"Dryopteris carthusiana"
"Dryopteris expansa"
"Dryopteris fragrans"
"Dupontia"
"Dupontia fisheri"
"Elatine americana"
"Elatine triandra"
"Eleocharis acicularis"
"Eleocharis elliptica"
"Eleocharis erythropoda"
"Eleocharis mamillata"
"Eleocharis mamillata subsp. mamillata"
"Eleocharis palustris"
"Eleocharis quinqueflora"
"Eleocharis uniglumis"
"Elodium blandowii"
"Elymus"
"Elymus alaskanus"
"Elymus alaskanus subsp. alaskanus"
"Elymus alaskanus subsp. hyperarcticus"
"Elymus canadensis"
"Elymus canadensis var. brachystachys"
"Elymus canadensis var. canadensis"
"Elymus canadensis var. robustus"
"Elymus ciliaris"
"Elymus curvatus"
"Elymus dahuricus"
"Elymus macrourus"
"Elymus pringlei"
"Elymus repens"
"Elymus sibiricus"
"Elymus sierrae"
"Elymus trachycaulus"
"Elymus trachycaulus subsp. subsecundus"
"Elymus trachycaulus subsp. trachycaulus"
"Elymus trachycaulus subsp. virescens"
"Elymus tsukushiensis"
"Elymus violaceus"
"Elymus ×pinalenoensis"
"Empetrum nigrum"
"Encalypta affinis"
"Encalypta alpina"
"Encalypta brevicollis"
"Encalypta longicollis"
"Encalypta mutica"
"Encalypta procera"
"Encalypta rhaptocarpa"
"Encalypta vittiana"
"Encalypta vulgaris"
"Entodon cladorrhizans"
"Entodon concinnus"
"Entodon schleicheri"
"Ephemerum serratum"
"Equisetum arvense"
"Equisetum fluviatile"
"Equisetum hyemale"
"Equisetum hyemale subsp. affine"
"Equisetum palustre"
"Equisetum pratense"
"Equisetum scirpoides"
"Equisetum sylvaticum"
"Equisetum variegatum"
"Equisetum variegatum subsp. variegatum"
"Equisetum ×litorale"
"Eremogone capillaris"
"Eremogone capillaris var. capillaris"
"Erigeron acris"
"Erigeron acris var. kamtschaticus"
"Erigeron compositus"
"Erigeron denalii"
"Erigeron elatus"
"Erigeron glabellus"
"Erigeron glabellus var. pubescens"
"Erigeron humilis"
"Erigeron hyssopifolius"
"Erigeron lonchophyllus"
"Erigeron nivalis"
"Erigeron philadelphicus"
"Erigeron philadelphicus var. philadelphicus"
"Erigeron porsildii"
"Erigeron uniflorus"
"Erigeron uniflorus var. eriocephalus"
"Erigeron yukonensis"
"Eriophorum angustifolium"
"Eriophorum angustifolium subsp. angustifolium"
"Eriophorum angustifolium subsp. triste"
"Eriophorum brachyantherum"
"Eriophorum callitrix"
"Eriophorum chamissonis"
"Eriophorum gracile"
"Eriophorum scheuchzeri"
"Eriophorum vaginatum"
"Eriophorum viridicarinatum"
"Erucastrum gallicum"
"Erysimum cheiranthoides"
"Erysimum coarctatum"
"Erysimum pallasii"
"Erythranthe guttata"
"Euphrasia subarctica"
"Eurhynchiastrum pulchellum var. pulchellum"
"Eurybia sibirica"
"Euthamia graminifolia"
"Eutrema edwardsii"
"Eutrema salsugineum"
"Festuca"
"Festuca altaica"
"Festuca amethystina"
"Festuca baffinensis"
"Festuca brachyphylla"
"Festuca brachyphylla subsp. brachyphylla"
"Festuca brachyphylla subsp. breviculmis"
"Festuca brachyphylla subsp. coloradensis"
"Festuca brevissima"
"Festuca edlundiae"
"Festuca frederikseniae"
"Festuca glauca"
"Festuca hyperborea"
"Festuca lenensis"
"Festuca prolifera"
"Festuca roemeri"
"Festuca rubra"
"Festuca rubra subsp. arctica"
"Festuca rubra subsp. arenaria"
"Festuca rubra subsp. aucta"
"Festuca rubra subsp. commutata"
"Festuca rubra subsp. fallax"
"Festuca rubra subsp. mediana"
"Festuca rubra subsp. pruinosa"
"Festuca rubra subsp. rubra"
"Festuca rubra subsp. secunda"
"Festuca rubra subsp. vallicola"
"Festuca saximontana"
"Festuca saximontana var. purpusiana"
"Festuca saximontana var. robertsiana"
"Festuca saximontana var. saximontana"
"Festuca sect. Breviaristatae"
"Festuca sect. Elmera"
"Festuca sect. Festuca"
"Festuca sect. Subulatae"
"Festuca sect. Subuliflorae"
"Festuca sect. Texanae"
"Festuca subg. Festuca"
"Festuca subg. Montanae"
"Festuca subg. Obtusae"
"Festuca subg. Subulatae"
"Festuca trachyphylla"
"Festuca viviparoidea"
"Festuca viviparoidea subsp. krajinae"
"Festuca viviparoidea subsp. viviparoidea"
"Fissidens adianthoides"
"Fissidens arcticus"
"Fissidens bryoides"
"Fissidens osmundioides"
"Fissidens taxifolius"
"Fontinalis hypnoides"
"Fragaria vesca"
"Fragaria vesca subsp. americana"
"Fragaria virginiana"
"Fragaria virginiana subsp. glauca"
"Funaria arctica"
"Funaria hygrometrica var. hygrometrica"
"Funaria microstoma"
"Funaria polaris"
"Gaillardia aristata"
"Gemmabryum caespiticium"
"Geocaulon lividum"
"Geum aleppicum"
"Geum glaciale"
"Geum macrophyllum"
"Geum macrophyllum var. perincisum"
"Geum rossii"
"Geum triflorum"
"Geum triflorum var. triflorum"
"Glyceria"
"Glyceria alnasteretum"
"Glyceria borealis"
"Glyceria elata"
"Glyceria grandis"
"Glyceria grandis var. grandis"
"Glyceria notata"
"Glyceria pulchella"
"Glyceria sect. Glyceria"
"Glyceria sect. Hydropoa"
"Glyceria sect. Striatae"
"Glyceria striata"
"Goodyera repens"
"Grimmia anodon"
"Grimmia crinitoleucophaea"
"Grimmia donniana"
"Grimmia elongata"
"Grimmia longirostris"
"Grimmia plagiopodia"
"Grimmia ramondii"
"Grimmia sessitana"
"Grimmia teretinervis"
"Grimmia torquata"
"Grindelia hirsutula"
"Gymnocarpium dryopteris"
"Gymnocarpium jessoense"
"Gymnocarpium jessoense subsp. parvulum"
"Gymnostomum aeruginosum"
"Gypsophila elegans"
"Gypsophila paniculata"
"Gyroweisia tenuis"
"Hamatocaulis vernicosus"
"Harrimanella hypnoides"
"Hedwigia ciliata"
"Helenium autumnale"
"Helianthus annuus"
"Hennediella heimii var. arctica"
"Hesperostipa"
"Hesperostipa curtiseta"
"Heuchera richardsonii"
"Hieracium albiflorum"
"Hieracium triste"
"Hieracium umbellatum"
"Hilpertia velenovskyi"
"Hippuris lanceolata"
"Hippuris montana"
"Hippuris tetraphylla"
"Hippuris vulgaris"
"Honckenya peploides"
"Honckenya peploides subsp. diffusa"
"Hordeum"
"Hordeum jubatum"
"Hordeum jubatum subsp. intermedium"
"Hordeum jubatum subsp. jubatum"
"Hordeum secalinum"
"Hordeum vulgare"
"Hudsonia tomentosa"
"Hulteniella integrifolia"
"Huperzia selago"
"Hygroamblystegium varium var. varium"
"Hygrohypnum luridum"
"Hylocomiastrum pyrenaicum"
"Hylocomium splendens"
"Hymenostylium recurvirostrum var. recurvirostrum"
"Hypnum bambergeri"
"Hypnum cupressiforme var. cupressiforme"
"Hypnum cupressiforme var. julaceum"
"Hypnum hamulosum"
"Hypnum holmenii"
"Hypnum lindbergii"
"Hypnum pallescens"
"Hypnum plicatulum"
"Hypnum pratense"
"Hypnum procerrimum"
"Hypnum recurvatum"
"Hypnum revolutum var. revolutum"
"Hypnum subimponens"
"Hypnum vaucheri"
"Isopterygiopsis muelleriana"
"Isopterygiopsis pulchella"
"Isoëtes echinospora"
"Juncus alpinoarticulatus"
"Juncus anthelatus"
"Juncus arcticus"
"Juncus arcticus var. alaskanus"
"Juncus arcticus var. balticus"
"Juncus biglumis"
"Juncus bufonius"
"Juncus castaneus"
"Juncus drummondii"
"Juncus dudleyi"
"Juncus filiformis"
"Juncus mertensianus"
"Juncus nodosus"
"Juncus stygius"
"Juncus stygius var. americanus"
"Juncus triglumis"
"Juncus triglumis var. albescens"
"Juncus triglumis var. triglumis"
"Juncus vaseyi"
"Juniperus communis"
"Juniperus communis var. depressa"
"Juniperus horizontalis"
"Kalmia microphylla"
"Kalmia microphylla var. microphylla"
"Kalmia polifolia"
"Kalmia procumbens"
"Kiaeria blyttii"
"Kiaeria falcata"
"Kiaeria glacialis"
"Kobresia myosuroides"
"Kobresia sibirica"
"Kobresia simpliciuscula"
"Koeleria"
"Koeleria asiatica"
"Koeleria macrantha"
"Koeleria pyramidata"
"Koenigia islandica"
"Lagotis glauca"
"Lagotis glauca subsp. lanceolata"
"Larix laricina"
"Lemna trisulca"
"Lemna turionifera"
"Lepidium densiflorum"
"Lepidium ramosissimum"
"Lepidium sativum"
"Leptarrhena pyrolifolia"
"Leptobryum pyriforme"
"Leptodictyum riparium"
"Leymus"
"Leymus arenarius"
"Leymus californicus"
"Leymus innovatus"
"Leymus innovatus subsp. innovatus"
"Leymus innovatus subsp. velutinus"
"Leymus mollis"
"Leymus mollis subsp. mollis"
"Leymus mollis subsp. villosissimus"
"Leymus salina"
"Leymus salina subsp. mojavensis"
"Leymus salina subsp. salina"
"Leymus salina subsp. salmonis"
"Limosella aquatica"
"Linaria vulgaris"
"Linum lewisii"
"Linum lewisii var. lewisii"
"Linum usitatissimum"
"Liparis loeselii"
"Listera borealis"
"Listera cordata var. cordata"
"Listera cordata var. nephrophylla"
"Lloydia serotina var. serotina"
"Loeskypnum badium"
"Lolium"
"Lolium multiflorum"
"Lolium perenne"
"Luetkea pectinata"
"Luzula arctica"
"Luzula arcuata"
"Luzula arcuata subsp. unalaschkensis"
"Luzula confusa"
"Luzula groenlandica"
"Luzula kjellmaniana"
"Luzula multiflora"
"Luzula multiflora subsp. frigida"
"Luzula parviflora"
"Luzula rufescens"
"Luzula spicata"
"Luzula wahlenbergii"
"Lycopodium annotinum"
"Lycopodium dendroideum"
"Lycopodium lagopus"
"Lysimachia maritima"
"Lysimachia thyrsiflora"
"Maianthemum canadense"
"Maianthemum racemosum subsp. amplexicaule"
"Maianthemum stellatum"
"Maianthemum trifolium"
"Malaxis paludosa"
"Malva neglecta"
"Matricaria discoidea"
"Matteuccia struthiopteris"
"Matteuccia struthiopteris var. pensylvanica"
"Meesia longiseta"
"Meesia triquetra"
"Meesia uliginosa"
"Micranthes ferruginea"
"Micranthes foliolosa"
"Micranthes hieraciifolia"
"Micranthes lyallii"
"Micranthes nelsoniana"
"Micranthes nelsoniana var. nelsoniana"
"Micranthes nelsoniana var. porsildiana"
"Micranthes nivalis"
"Micranthes razshivinii"
"Micranthes reflexa"
"Micranthes tenuis"
"Minuartia arctica"
"Minuartia biflora"
"Minuartia dawsonensis"
"Minuartia elegans"
"Minuartia macrocarpa"
"Minuartia obtusiloba"
"Minuartia rossii"
"Minuartia rubella"
"Minuartia stricta"
"Minuartia yukonensis"
"Mitella nuda"
"Mnium arizonicum"
"Mnium blyttii"
"Mnium lycopodioides"
"Mnium marginatum"
"Mnium spinosum"
"Mnium spinulosum"
"Mnium thomsonii"
"Moehringia macrophylla"
"Molendoa sendtneriana"
"Moneses uniflora"
"Monolepis nuttalliana"
"Monotropa uniflora"
"Montia fontana"
"Muhlenbergia"
"Muhlenbergia diversiglumis"
"Muhlenbergia glabrifloris"
"Muhlenbergia glomerata"
"Muhlenbergia richardsonis"
"Muhlenbergia sericea"
"Mulgedium pulchellum"
"Myrica gale"
"Myrinia pulvinata"
"Myurella julacea"
"Myurella sibirica"
"Myurella tenerrima"
"Nassella"
"Nassella viridula"
"Neckera pennata"
"Neslia paniculata"
"Niphotrichum canescens subsp. canescens"
"Niphotrichum canescens subsp. latifolium"
"Niphotrichum ericoides"
"Nuphar polysepala"
"Nuphar variegata"
"Nymphaea tetragona"
"Oncophorus virens"
"Oncophorus wahlenbergii"
"Orthilia secunda"
"Orthothecium acuminatum"
"Orthothecium chryseum var. chryseum"
"Orthothecium intricatum"
"Orthothecium rufescens"
"Orthothecium strictum"
"Orthotrichum anomalum"
"Orthotrichum elegans"
"Orthotrichum laevigatum"
"Orthotrichum obtusifolium"
"Orthotrichum pellucidum"
"Orthotrichum pylaisii"
"Orthotrichum rupestre"
"Orthotrichum sordidum"
"Orthotrichum speciosum"
"Oryzopsis"
"Oryzopsis asperifolia"
"Oxyria digyna"
"Packera cymbalaria"
"Packera hyperborealis"
"Packera indecora"
"Packera ogotorukensis"
"Packera pauciflora"
"Packera paupercula"
"Packera streptanthifolia"
