"x"
"Abies balsamea"
"Bromus richardsonii"
"Bromus riparius"
"Bromus sect. Bromopsis"
"Bromus sect. Bromus"
"Bromus sect. Ceratochloa"
"Bromus sect. Genea"
"Bromus sect. Neobromus"
"Bromus tectorum"
"Bryum argenteum var. argenteum"
"Bryum lanatum"
"Bucklandiella sudetica"
"Calamagrostis"
"Calamagrostis canadensis"
"Calamagrostis canadensis var. canadensis"
"Calamagrostis canadensis var. langsdorffii"
"Calamagrostis canadensis var. macouniana"
"Calamagrostis cinnoides"
"Calamagrostis epigejos"
"Calamagrostis lapponica"
"Calamagrostis montanensis"
"Calamagrostis purpurascens"
"Calamagrostis rubescens"
"Calamagrostis stricta"
"Calamagrostis stricta subsp. inexpansa"
"Calamagrostis stricta subsp. stricta"
"Calamagrostis ×acutiflora"
"Calamovilfa"
"Calamovilfa longifolia"
"Calamovilfa longifolia var. longifolia"
"Calla palustris"
"Calliergon cordifolium"
"Calliergon giganteum"
"Calliergon richardsonii"
"Callitriche hermaphroditica"
"Callitriche palustris"
"Callitriche stenoptera"
"Caltha natans"
"Caltha palustris"
"Calypso bulbosa var. americana"
"Camelina alyssum"
"Camelina microcarpa"
"Campyliadelphus chrysophyllus"
"Campylium stellatum"
"Campylophyllum sommerfeltii"
"Canadanthus modestus"
"Capsella bursa-pastoris"
"Cardamine parviflora"
"Cardamine pensylvanica"
"Carduus nutans"
"Carex adusta"
"Carex alopecoidea"
"Carex aquatilis"
"Carex aquatilis var. aquatilis"
"Carex assiniboinensis"
"Carex atherodes"
"Carex athrostachya"
"Carex atratiformis"
"Carex aurea"
"Carex backii"
"Carex bebbii"
"Carex bicolor"
"Carex bigelowii"
"Carex bigelowii subsp. bigelowii"
"Carex brevior"
"Carex brunnescens"
"Carex brunnescens subsp. brunnescens"
"Carex buxbaumii"
"Carex canescens"
"Carex canescens subsp. canescens"
"Carex capillaris"
"Carex capitata"
"Carex chordorrhiza"
"Carex concinna"
"Carex crawei"
"Carex crawfordii"
"Carex cristatella"
"Carex deflexa"
"Carex deflexa var. deflexa"
"Carex deweyana"
"Carex deweyana var. deweyana"
"Carex diandra"
"Carex disperma"
"Carex douglasii"
"Carex duriuscula"
"Carex eburnea"
"Carex echinata"
"Carex echinata subsp. echinata"
"Carex filifolia"
"Carex filifolia var. filifolia"
"Carex foenea"
"Carex garberi"
"Carex glacialis"
"Carex granularis"
"Carex gravida"
"Carex gynocrates"
"Carex heleonastes"
"Carex hoodii"
"Carex hookeriana"
"Carex houghtoniana"
"Carex hystericina"
"Carex inops"
"Carex inops subsp. heliophila"
"Carex interior"
"Carex lacustris"
"Carex laeviconica"
"Carex lapponica"
"Carex lasiocarpa"
"Carex lenticularis"
"Carex lenticularis var. lenticularis"
"Carex leptalea"
"Carex limosa"
"Carex livida"
"Carex loliacea"
"Carex mackenziei"
"Carex magellanica"
"Carex magellanica subsp. irrigua"
"Carex maritima"
"Carex meadii"
"Carex media"
"Carex michauxiana"
"Carex microptera"
"Carex nebrascensis"
"Carex obtusata"
"Carex oligosperma"
"Carex pachystachya"
"Carex parryana"
"Carex pauciflora"
"Carex peckii"
"Carex pedunculata"
"Carex pellita"
"Carex petasata"
"Carex praegracilis"
"Carex prairea"
"Carex praticola"
"Carex projecta"
"Carex raynoldsii"
"Carex retrorsa"
"Carex richardsonii"
"Carex rossii"
"Carex rostrata"
"Carex sartwellii"
"Carex saxatilis"
"Carex saximontana"
"Carex scirpoidea"
"Carex scirpoidea subsp. scirpoidea"
"Carex siccata"
"Carex simulata"
"Carex sprengelii"
"Carex sterilis"
"Carex stipata"
"Carex stipata var. stipata"
"Carex supina"
"Carex supina subsp. spaniocarpa"
"Carex sychnocephala"
"Carex tenera"
"Carex tenera var. tenera"
"Carex tenuiflora"
"Carex tetanica"
"Carex tonsa"
"Carex tonsa var. rugosperma"
"Carex tonsa var. tonsa"
"Carex torreyi"
"Carex trisperma"
"Carex umbellata"
"Carex utriculata"
"Carex vaginata"
"Carex viridula"
"Carex viridula var. viridula"
"Carex vulpinoidea"
"Carex xerantica"
"Castilleja coccinea"
"Castilleja miniata"
"Castilleja miniata var. miniata"
"Castilleja raupii"
"Castilleja sessiliflora"
"Catabrosa"
"Catabrosa aquatica"
"Catoscopium nigritum"
"Celastrus scandens"
"Centaurea diffusa"
"Centaurea solstitialis"
"Cerastium alpinum"
"Cerastium alpinum subsp. alpinum"
"Cerastium arvense"
"Cerastium arvense subsp. strictum"
"Cerastium beeringianum"
"Cerastium brachypodum"
"Cerastium fontanum"
"Cerastium fontanum subsp. vulgare"
"Cerastium nutans"
"Cerastium nutans var. nutans"
"Ceratodon purpureus subsp. purpureus"
"Ceratophyllum demersum"
"Chaenorhinum minus"
"Chaenorhinum minus subsp. minus"
"Chamaedaphne calyculata"
"Chamaerhodos erecta"
"Chenopodium album"
"Chenopodium atrovirens"
"Chenopodium berlandieri"
"Chenopodium berlandieri var. zschackei"
"Chenopodium capitatum"
"Chenopodium capitatum var. capitatum"
"Chenopodium desiccatum"
"Chenopodium fremontii"
"Chenopodium glaucum"
"Chenopodium glaucum var. salinum"
"Chenopodium hians"
"Chenopodium incanum"
"Chenopodium incanum var. incanum"
"Chenopodium leptophyllum"
"Chenopodium murale"
"Chenopodium polyspermum"
"Chenopodium polyspermum var. acutifolium"
"Chenopodium pratericola"
"Chenopodium rubrum"
"Chenopodium rubrum var. humile"
"Chenopodium rubrum var. rubrum"
"Chenopodium simplex"
"Chenopodium strictum"
"Chenopodium subglabrum"
"Chenopodium watsonii"
"Chimaphila umbellata"
"Chimaphila umbellata subsp. umbellata"
"Chorispora tenella"
"Chrysosplenium iowense"
"Chrysosplenium tetrandrum"
"Cichorium intybus"
"Cinclidium stygium"
"Cinna"
"Cinna latifolia"
"Cirsium arvense"
"Cirsium discolor"
"Cirsium drummondii"
"Cirsium flodmanii"
"Cirsium muticum"
"Cirsium undulatum"
"Cirsium vulgare"
"Cladium mariscoides"
"Claytonia lanceolata"
"Clematis ligusticifolia"
"Clematis occidentalis"
"Clematis occidentalis var. grosseserrata"
"Clematis tangutica"
"Clematis tangutica var. tangutica"
"Climacium dendroides"
"Coeloglossum viride"
"Collinsia parviflora"
"Comandra umbellata"
"Comandra umbellata subsp. pallida"
"Comandra umbellata subsp. umbellata"
"Comarum palustre"
"Conardia compacta"
"Conringia orientalis"
"Convallaria majalis var. majalis"
"Conyza canadensis"
"Coptis trifolia"
"Corallorhiza maculata var. maculata"
"Corallorhiza maculata var. occidentalis"
"Corallorhiza striata var. striata"
"Corallorhiza trifida"
"Coreopsis tinctoria"
"Corispermum americanum"
"Corispermum americanum var. americanum"
"Corispermum hookeri"
"Corispermum hookeri var. hookeri"
"Corispermum pallasii"
"Corispermum villosum"
"Cornus canadensis"
"Cornus sericea"
"Corydalis aurea"
"Corydalis aurea subsp. aurea"
"Corydalis sempervirens"
"Corylus americana"
"Corylus cornuta subsp. cornuta"
"Coryphantha vivipara"
"Cota tinctoria"
"Cotoneaster lucidus"
"Crataegus aquacervensis"
"Crataegus castlegarensis"
"Crataegus chrysocarpa"
"Crataegus chrysocarpa var. chrysocarpa"
"Crataegus chrysocarpa var. subrotundifolia"
"Crataegus cupressocollina"
"Crataegus douglasii"
"Crataegus macracantha"
"Crataegus purpurella"
"Crataegus rivuloadamensis"
"Crataegus rivulopugnensis"
"Crataegus rubribracteolata"
"Crataegus sheila-phippsiae"
"Crataegus sheila-phippsiae var. saskatchewanensis"
"Crataegus sheridana"
"Crataegus ursopedensis"
"Cratoneuron filicinum"
"Crepis atribarba"
"Crepis intermedia"
"Crepis occidentalis"
"Crepis occidentalis subsp. costata"
"Crepis occidentalis subsp. occidentalis"
"Crepis runcinata"
"Crepis runcinata subsp. glauca"
"Crepis runcinata subsp. hispidulosa"
"Crepis runcinata subsp. runcinata"
"Crepis tectorum"
"Cryptogramma acrostichoides"
"Cyclachaena xanthiifolia"
"Cycloloma atriplicifolium"
"Cynodontium alpestre"
"Cynodontium schisti"
"Cynodontium strumiferum"
"Cynodontium tenellum"
"Cyperus schweinitzii"
"Cyperus strigosus"
"Cypripedium acaule"
"Cypripedium arietinum"
"Cypripedium candidum"
"Cypripedium parviflorum var. makasin"
"Cypripedium parviflorum var. pubescens"
"Cypripedium passerinum"
"Cypripedium reginae"
"Cystopteris fragilis"
"Cystopteris montana"
"Danthonia"
"Danthonia californica"
"Danthonia intermedia"
"Danthonia parryi"
"Danthonia spicata"
"Danthonia unispicata"
"Dasiphora fruticosa"
"Delphinium bicolor"
"Delphinium bicolor subsp. bicolor"
"Delphinium elatum"
"Delphinium glaucum"
"Deschampsia"
"Deschampsia cespitosa"
"Deschampsia cespitosa subsp. beringensis"
"Deschampsia cespitosa subsp. cespitosa"
"Deschampsia cespitosa subsp. holciformis"
"Deschampsia mackenzieana"
"Deschampsia sukatschewii"
"Descurainia incana"
"Descurainia pinnata"
"Descurainia pinnata subsp. brachycarpa"
"Descurainia sophia"
"Dianthus barbatus subsp. barbatus"
"Dianthus deltoides subsp. deltoides"
"Dichanthelium"
"Dichanthelium acuminatum"
"Dichanthelium acuminatum subsp. acuminatum"
"Dichanthelium acuminatum subsp. columbianum"
"Dichanthelium acuminatum subsp. fasciculatum"
"Dichanthelium acuminatum subsp. implicatum"
"Dichanthelium acuminatum subsp. leucothrix"
"Dichanthelium acuminatum subsp. lindheimeri"
"Dichanthelium acuminatum subsp. longiligulatum"
"Dichanthelium acuminatum subsp. sericeum"
"Dichanthelium acuminatum subsp. spretum"
"Dichanthelium acuminatum subsp. thermale"
"Dichanthelium chamaelonche"
"Dichanthelium chamaelonche subsp. breve"
"Dichanthelium chamaelonche subsp. chamaelonche"
"Dichanthelium ensifolium"
"Dichanthelium ensifolium subsp. curtifolium"
"Dichanthelium ensifolium subsp. ensifolium"
"Dichanthelium leibergii"
"Dichanthelium linearifolium"
"Dichanthelium nudicaule"
"Dichanthelium oligosanthes"
"Dichanthelium oligosanthes subsp. oligosanthes"
"Dichanthelium oligosanthes subsp. scribnerianum"
"Dichanthelium perlongum"
"Dichanthelium polyanthes"
"Dichanthelium portoricense"
"Dichanthelium portoricense subsp. patulum"
"Dichanthelium portoricense subsp. portoricense"
"Dichanthelium sect. Angustifolia"
"Dichanthelium sect. Clandestina"
"Dichanthelium sect. Dichanthelium"
"Dichanthelium sect. Ensifolia"
"Dichanthelium sect. Lancearia"
"Dichanthelium sect. Lanuginosa"
"Dichanthelium sect. Linearifolia"
"Dichanthelium sect. Macrocarpa"
"Dichanthelium sect. Nudicaulia"
"Dichanthelium sect. Oligosantha"
"Dichanthelium sect. Pedicellata"
"Dichanthelium sect. Sphaerocarpa"
"Dichanthelium sect. Strigosa"
"Dichanthelium tenue"
"Dichanthelium wilcoxianum"
"Dichanthelium ×anthophysum"
"Dicranum bonjeanii"
"Dicranum elongatum"
"Dicranum flagellare"
"Dicranum fragilifolium"
"Dicranum fuscescens var. fuscescens"
"Dicranum montanum"
"Dicranum ontariense"
"Dicranum polysetum"
"Dicranum scoparium"
"Dicranum spadiceum"
"Dicranum tauricum"
"Dicranum undulatum"
"Didymodon fallax"
"Didymodon rigidulus var. gracilis"
"Dieteria canescens"
"Dieteria canescens var. canescens"
"Digitaria"
"Digitaria bakeri"
"Digitaria didactyla"
"Digitaria ischaemum"
"Digitaria leucocoma"
"Digitaria sanguinalis"
"Digitaria tomentosa"
"Diphasiastrum complanatum"
"Diphasiastrum sitchense"
"Diplotaxis muralis"
"Distichium capillaceum"
"Distichlis"
"Distichlis spicata"
"Ditrichum flexicaule"
"Dodecatheon conjugens"
"Dodecatheon conjugens var. viscidum"
"Dodecatheon frigidum"
"Dodecatheon pulchellum"
"Dodecatheon pulchellum var. pulchellum"
"Doellingeria umbellata"
"Doellingeria umbellata var. pubens"
"Draba aurea"
"Draba cana"
"Draba cinerea"
"Draba nemorosa"
"Draba reptans"
"Drepanocladus aduncus"
"Drepanocladus longifolius"
"Drepanocladus polygamus"
"Drosera anglica"
"Drosera linearis"
"Drosera rotundifolia"
"Dryas drummondii"
"Drymocallis arguta"
"Dryopteris carthusiana"
"Dryopteris cristata"
"Dryopteris filix-mas"
"Dryopteris fragrans"
"Echinacea angustifolia"
"Echinochloa"
"Echinochloa crus-galli"
"Echinochloa muricata"
"Echinochloa muricata var. microstachya"
"Echinochloa oryzicola"
"Echinochloa pyramidalis"
"Echinocystis lobata"
"Echinops sphaerocephalus"
"Elatine minima"
"Elatine triandra"
"Eleocharis acicularis"
"Eleocharis coloradoensis"
"Eleocharis compressa"
"Eleocharis compressa var. acutisquamata"
"Eleocharis elliptica"
"Eleocharis erythropoda"
"Eleocharis mamillata"
"Eleocharis mamillata subsp. mamillata"
"Eleocharis nitida"
"Eleocharis palustris"
"Eleocharis quinqueflora"
"Elodea bifoliata"
"Elodea canadensis"
"Elodium blandowii"
"Elymus"
"Elymus albicans"
"Elymus canadensis"
"Elymus canadensis var. brachystachys"
"Elymus canadensis var. canadensis"
"Elymus canadensis var. robustus"
"Elymus ciliaris"
"Elymus curvatus"
"Elymus dahuricus"
"Elymus diversiglumis"
"Elymus elymoides"
"Elymus elymoides subsp. brevifolius"
"Elymus elymoides subsp. californicus"
"Elymus elymoides subsp. elymoides"
"Elymus elymoides subsp. hordeoides"
"Elymus glaucus"
"Elymus glaucus subsp. glaucus"
"Elymus glaucus subsp. mackenziei"
"Elymus glaucus subsp. virescens"
"Elymus lanceolatus"
"Elymus lanceolatus subsp. lanceolatus"
"Elymus lanceolatus subsp. psammophilus"
"Elymus lanceolatus subsp. riparius"
"Elymus pringlei"
"Elymus repens"
"Elymus sierrae"
"Elymus trachycaulus"
"Elymus trachycaulus subsp. subsecundus"
"Elymus trachycaulus subsp. trachycaulus"
"Elymus trachycaulus subsp. virescens"
"Elymus tsukushiensis"
"Elymus violaceus"
"Elymus virginicus"
"Elymus virginicus var. intermedius"
"Elymus virginicus var. jejunus"
"Elymus virginicus var. virginicus"
"Elymus wiegandii"
"Elymus ×pinalenoensis"
"Elymus ×pseudorepens"
"Empetrum nigrum"
"Encalypta brevicollis"
"Encalypta procera"
"Encalypta rhaptocarpa"
"Encalypta vulgaris"
"Ephemerum crassinervium var. crassinervium"
"Ephemerum serratum"
"Ephemerum spinulosum"
"Equisetum arvense"
"Equisetum fluviatile"
"Equisetum hyemale"
"Equisetum hyemale subsp. affine"
"Equisetum laevigatum"
"Equisetum palustre"
"Equisetum pratense"
"Equisetum scirpoides"
"Equisetum sylvaticum"
"Equisetum variegatum"
"Equisetum variegatum subsp. variegatum"
"Equisetum ×ferrissii"
"Equisetum ×litorale"
"Equisetum ×mackaii"
"Eragrostis"
"Eragrostis cilianensis"
"Eragrostis hypnoides"
"Eragrostis minor"
"Eragrostis obtusiflora"
"Eragrostis reptans"
"Eragrostis setifolia"
"Eremogone congesta"
"Eremogone congesta var. lithophila"
"Eremopyrum"
"Eremopyrum triticeum"
"Ericameria nauseosa"
"Ericameria nauseosa var. graveolens"
"Ericameria nauseosa var. nauseosa"
"Erigeron acris"
"Erigeron acris var. kamtschaticus"
"Erigeron annuus"
"Erigeron caespitosus"
"Erigeron compositus"
"Erigeron elatus"
"Erigeron glabellus"
"Erigeron glabellus var. glabellus"
"Erigeron glabellus var. pubescens"
"Erigeron hyssopifolius"
"Erigeron lonchophyllus"
"Erigeron philadelphicus"
"Erigeron philadelphicus var. philadelphicus"
"Erigeron pumilus"
"Erigeron pumilus var. pumilus"
"Erigeron radicatus"
"Erigeron strigosus"
"Erigeron strigosus var. septentrionalis"
"Erigeron strigosus var. strigosus"
"Eriogonum cernuum"
"Eriogonum flavum var. flavum"
"Eriogonum pauciflorum"
"Eriophorum angustifolium"
"Eriophorum angustifolium subsp. angustifolium"
"Eriophorum brachyantherum"
"Eriophorum callitrix"
"Eriophorum chamissonis"
"Eriophorum gracile"
"Eriophorum scheuchzeri"
"Eriophorum vaginatum"
"Eriophorum viridicarinatum"
"Eruca vesicaria"
"Eruca vesicaria subsp. sativa"
"Erucastrum gallicum"
"Erysimum asperum"
"Erysimum cheiranthoides"
"Erysimum hieraciifolium"
"Erysimum inconspicuum"
"Erythranthe geyeri"
"Erythranthe guttata"
"Euphorbia agraria"
"Euphorbia cyparissias"
"Euphorbia glyptosperma"
"Euphorbia helioscopia"
"Euphorbia marginata"
"Euphorbia peplus"
"Euphorbia serpens"
"Euphorbia serpillifolia"
"Euphorbia serpillifolia subsp. serpillifolia"
"Euphorbia virgata"
"Euphrasia subarctica"
"Eurhynchiastrum pulchellum var. pulchellum"
"Eurybia conspicua"
"Euthamia graminifolia"
"Eutrema salsugineum"
"Eutrochium maculatum"
"Eutrochium maculatum var. bruneri"
"Fagopyrum esculentum"
"Fagopyrum tataricum"
"Fallopia cilinodis"
"Fallopia convolvulus"
"Fallopia scandens"
"Festuca"
"Festuca altaica"
"Festuca amethystina"
"Festuca brachyphylla"
"Festuca brachyphylla subsp. brachyphylla"
"Festuca brachyphylla subsp. breviculmis"
"Festuca brachyphylla subsp. coloradensis"
"Festuca campestris"
"Festuca frederikseniae"
"Festuca glauca"
"Festuca hallii"
"Festuca idahoensis"
"Festuca prolifera"
"Festuca roemeri"
"Festuca rubra"
"Festuca rubra subsp. arctica"
"Festuca rubra subsp. arenaria"
"Festuca rubra subsp. aucta"
"Festuca rubra subsp. commutata"
"Festuca rubra subsp. fallax"
"Festuca rubra subsp. mediana"
"Festuca rubra subsp. pruinosa"
"Festuca rubra subsp. rubra"
"Festuca rubra subsp. secunda"
"Festuca rubra subsp. vallicola"
"Festuca saximontana"
"Festuca saximontana var. robertsiana"
"Festuca saximontana var. saximontana"
"Festuca sect. Breviaristatae"
"Festuca sect. Elmera"
"Festuca sect. Festuca"
"Festuca sect. Subulatae"
"Festuca sect. Subuliflorae"
"Festuca sect. Texanae"
"Festuca subg. Festuca"
"Festuca subg. Montanae"
"Festuca subg. Obtusae"
"Festuca subg. Subulatae"
"Festuca trachyphylla"
"Fissidens adianthoides"
"Fontinalis hypnoides"
"Fragaria vesca"
"Fragaria vesca subsp. americana"
"Fragaria virginiana"
"Fragaria virginiana subsp. glauca"
"Frangula alnus"
"Fumaria officinalis"
"Funaria hygrometrica var. hygrometrica"
"Gaillardia aristata"
"Galinsoga quadriradiata"
"Gaultheria hispidula"
"Gemmabryum caespiticium"
"Gemmabryum dichotomum"
"Geocaulon lividum"
"Geum aleppicum"
"Geum macrophyllum"
"Geum macrophyllum var. perincisum"
"Geum rivale"
"Geum triflorum"
"Geum triflorum var. ciliatum"
"Geum triflorum var. triflorum"
"Glyceria"
"Glyceria alnasteretum"
"Glyceria borealis"
"Glyceria canadensis"
"Glyceria canadensis var. canadensis"
"Glyceria canadensis var. laxa"
"Glyceria elata"
"Glyceria grandis"
"Glyceria grandis var. grandis"
"Glyceria notata"
"Glyceria pulchella"
"Glyceria sect. Glyceria"
"Glyceria sect. Hydropoa"
"Glyceria sect. Striatae"
"Glyceria striata"
"Gnaphalium palustre"
"Gnaphalium uliginosum"
"Goodyera oblongifolia"
"Goodyera repens"
"Gratiola neglecta"
"Grimmia anodon"
"Grimmia longirostris"
"Grimmia plagiopodia"
"Grimmia teretinervis"
"Grindelia hirsutula"
"Grindelia squarrosa"
"Gutierrezia sarothrae"
"Gymnocarpium dryopteris"
"Gymnocarpium jessoense"
"Gymnocarpium jessoense subsp. parvulum"
"Gypsophila elegans"
"Gypsophila paniculata"
"Hedwigia ciliata"
"Helenium autumnale"
"Helianthus annuus"
"Helianthus maximiliani"
"Helianthus nuttallii"
"Helianthus nuttallii subsp. nuttallii"
"Helianthus nuttallii subsp. rydbergii"
"Helianthus pauciflorus"
"Helianthus pauciflorus subsp. pauciflorus"
"Helianthus pauciflorus subsp. subrhomboideus"
"Helianthus petiolaris"
"Helianthus petiolaris subsp. petiolaris"
"Helianthus tuberosus"
"Heliopsis helianthoides"
"Heliopsis helianthoides var. scabra"
"Helminthotheca echioides"
"Hennediella heimii var. heimii"
"Herzogiella turfacea"
"Hesperis matronalis"
"Hesperostipa"
"Hesperostipa comata"
"Hesperostipa comata subsp. comata"
"Hesperostipa comata subsp. intermedia"
"Hesperostipa curtiseta"
"Hesperostipa spartea"
"Heterotheca villosa"
"Heterotheca villosa var. ballardii"
"Heterotheca villosa var. foliosa"
"Heterotheca villosa var. minor"
"Heterotheca villosa var. villosa"
"Heuchera parvifolia"
"Heuchera richardsonii"
"Hibiscus trionum"
"Hieracium albiflorum"
"Hieracium aurantiacum"
"Hieracium umbellatum"
"Hippuris vulgaris"
"Holcus"
"Holcus ianatus"
